#x-axis,1
#second,Volt
-9.234375000000e-001,-3.85930e+000
-9.229255000000e-001,-3.77889e+000
-9.224135000000e-001,-3.85930e+000
-9.219015000000e-001,-3.69849e+000
-9.213895000000e-001,-3.69849e+000
-9.208775000000e-001,-3.69849e+000
-9.203655000000e-001,-3.69849e+000
-9.198535000000e-001,-3.69849e+000
-9.193415000000e-001,-3.69849e+000
-9.188295000000e-001,-3.61809e+000
-9.183175000000e-001,-3.69849e+000
-9.178055000000e-001,-3.53769e+000
-9.172935000000e-001,-3.53769e+000
-9.167815000000e-001,-3.61809e+000
-9.162695000000e-001,-3.45729e+000
-9.157575000000e-001,-3.53769e+000
-9.152455000000e-001,-3.45729e+000
-9.147335000000e-001,-3.61809e+000
-9.142215000000e-001,-3.53769e+000
-9.137095000000e-001,-3.53769e+000
-9.131975000000e-001,-3.53769e+000
-9.126855000000e-001,-3.53769e+000
-9.121735000000e-001,-3.37688e+000
-9.116615000000e-001,-3.37688e+000
-9.111495000000e-001,-3.29648e+000
-9.106375000000e-001,-3.45729e+000
-9.101255000000e-001,-3.29648e+000
-9.096135000000e-001,-3.29648e+000
-9.091015000000e-001,-3.29648e+000
-9.085895000000e-001,-3.37688e+000
-9.080775000000e-001,-3.29648e+000
-9.075655000000e-001,-3.29648e+000
-9.070535000000e-001,-3.29648e+000
-9.065415000000e-001,-3.29648e+000
-9.060295000000e-001,-3.21608e+000
-9.055175000000e-001,-3.29648e+000
-9.050055000000e-001,-3.13568e+000
-9.044935000000e-001,-3.29648e+000
-9.039815000000e-001,-3.13568e+000
-9.034695000000e-001,-3.13568e+000
-9.029575000000e-001,-3.13568e+000
-9.024455000000e-001,-3.13568e+000
-9.019335000000e-001,-3.05528e+000
-9.014215000000e-001,-3.13568e+000
-9.009095000000e-001,-3.05528e+000
-9.003975000000e-001,-3.05528e+000
-8.998855000000e-001,-3.05528e+000
-8.993735000000e-001,-3.05528e+000
-8.988615000000e-001,-2.97487e+000
-8.983495000000e-001,-2.97487e+000
-8.978375000000e-001,-2.97487e+000
-8.973255000000e-001,-2.97487e+000
-8.968135000000e-001,-3.05528e+000
-8.963015000000e-001,-2.89447e+000
-8.957895000000e-001,-2.89447e+000
-8.952775000000e-001,-2.89447e+000
-8.947655000000e-001,-2.89447e+000
-8.942535000000e-001,-2.89447e+000
-8.937415000000e-001,-2.89447e+000
-8.932295000000e-001,-2.81407e+000
-8.927175000000e-001,-2.89447e+000
-8.922055000000e-001,-2.81407e+000
-8.916935000000e-001,-2.89447e+000
-8.911815000000e-001,-2.89447e+000
-8.906695000000e-001,-2.81407e+000
-8.901575000000e-001,-2.81407e+000
-8.896455000000e-001,-2.81407e+000
-8.891335000000e-001,-2.73367e+000
-8.886215000000e-001,-2.81407e+000
-8.881095000000e-001,-2.73367e+000
-8.875975000000e-001,-2.73367e+000
-8.870855000000e-001,-2.73367e+000
-8.865735000000e-001,-2.73367e+000
-8.860615000000e-001,-2.65327e+000
-8.855495000000e-001,-2.65327e+000
-8.850375000000e-001,-2.57286e+000
-8.845255000000e-001,-2.65327e+000
-8.840135000000e-001,-2.57286e+000
-8.835015000000e-001,-2.57286e+000
-8.829895000000e-001,-2.57286e+000
-8.824775000000e-001,-2.57286e+000
-8.819655000000e-001,-2.49246e+000
-8.814535000000e-001,-2.49246e+000
-8.809415000000e-001,-2.41206e+000
-8.804295000000e-001,-2.49246e+000
-8.799175000000e-001,-2.49246e+000
-8.794055000000e-001,-2.33166e+000
-8.788935000000e-001,-2.49246e+000
-8.783815000000e-001,-2.33166e+000
-8.778695000000e-001,-2.49246e+000
-8.773575000000e-001,-2.33166e+000
-8.768455000000e-001,-2.33166e+000
-8.763335000000e-001,-2.41206e+000
-8.758215000000e-001,-2.33166e+000
-8.753095000000e-001,-2.33166e+000
-8.747975000000e-001,-2.33166e+000
-8.742855000000e-001,-2.25126e+000
-8.737735000000e-001,-2.17085e+000
-8.732615000000e-001,-2.33166e+000
-8.727495000000e-001,-2.17085e+000
-8.722375000000e-001,-2.25126e+000
-8.717255000000e-001,-2.25126e+000
-8.712135000000e-001,-2.09045e+000
-8.707015000000e-001,-2.17085e+000
-8.701895000000e-001,-2.17085e+000
-8.696775000000e-001,-2.17085e+000
-8.691655000000e-001,-2.09045e+000
-8.686535000000e-001,-2.09045e+000
-8.681415000000e-001,-2.17085e+000
-8.676295000000e-001,-2.09045e+000
-8.671175000000e-001,-2.09045e+000
-8.666055000000e-001,-2.01005e+000
-8.660935000000e-001,-2.09045e+000
-8.655815000000e-001,-2.09045e+000
-8.650695000000e-001,-2.01005e+000
-8.645575000000e-001,-2.01005e+000
-8.640455000000e-001,-1.92965e+000
-8.635335000000e-001,-2.01005e+000
-8.630215000000e-001,-1.92965e+000
-8.625095000000e-001,-2.01005e+000
-8.619975000000e-001,-2.01005e+000
-8.614855000000e-001,-1.92965e+000
-8.609735000000e-001,-1.92965e+000
-8.604615000000e-001,-1.92965e+000
-8.599495000000e-001,-1.84925e+000
-8.594375000000e-001,-1.84925e+000
-8.589255000000e-001,-1.84925e+000
-8.584135000000e-001,-1.92965e+000
-8.579015000000e-001,-1.76884e+000
-8.573895000000e-001,-1.84925e+000
-8.568775000000e-001,-1.76884e+000
-8.563655000000e-001,-1.76884e+000
-8.558535000000e-001,-1.76884e+000
-8.553415000000e-001,-1.68844e+000
-8.548295000000e-001,-1.76884e+000
-8.543175000000e-001,-1.76884e+000
-8.538055000000e-001,-1.68844e+000
-8.532935000000e-001,-1.68844e+000
