Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 1 pulse(s)
Total Duration: 0:0:1:00 (DD:HH:MM:SS)
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 X Baseline Position	 Y Baseline Position	 Delta Centroid X	 Delta Centroid Y	 Delta Peak X	 Delta Peak Y	  
 16:36:09, Wednesday, March 19, 2025	0.235	1045.0	1089.0	-	96.0	0.0	31.1	842.1	49.5	863.5	97.0	1.8	1.8	0.0	0.0	31.1	842.1	49.5	863.5
16:36:09, Wednesday, March 19, 2025	0.594	1039.5	1083.5	-	95.9	0.0	30.9	842.9	49.5	863.5	96.5	1.8	1.8	0.0	0.0	30.9	842.9	49.5	863.5
16:36:10, Wednesday, March 19, 2025	0.953	1039.5	1083.5	-	95.9	0.0	31.1	842.1	55.0	858.0	96.4	1.7	1.8	0.0	0.0	31.1	842.1	55.0	858.0
16:36:10, Wednesday, March 19, 2025	1.344	1039.5	1078.0	-	96.4	0.0	31.3	843.1	38.5	847.0	96.3	1.7	1.8	0.0	0.0	31.3	843.1	38.5	847.0
16:36:10, Wednesday, March 19, 2025	1.703	1039.5	1089.0	-	95.5	0.0	31.1	843.0	33.0	852.5	95.5	1.7	1.8	0.0	0.0	31.1	843.0	33.0	852.5
16:36:11, Wednesday, March 19, 2025	2.125	1050.5	1089.0	-	96.5	0.0	31.1	843.1	38.5	847.0	96.3	1.8	1.8	0.0	0.0	31.1	843.1	38.5	847.0
16:36:11, Wednesday, March 19, 2025	2.500	1039.5	1094.5	-	95.0	0.0	31.0	842.9	33.0	852.5	96.5	1.7	1.8	0.0	0.0	31.0	842.9	33.0	852.5
16:36:12, Wednesday, March 19, 2025	2.875	1039.5	1094.5	-	95.0	0.0	30.7	843.8	44.0	847.0	96.3	1.7	1.8	0.0	0.0	30.7	843.8	44.0	847.0
16:36:12, Wednesday, March 19, 2025	3.235	1039.5	1083.5	-	95.9	0.0	31.1	842.9	44.0	863.5	96.1	1.8	1.8	0.0	0.0	31.1	842.9	44.0	863.5
16:36:12, Wednesday, March 19, 2025	3.625	1039.5	1094.5	-	95.0	0.0	31.1	842.2	44.0	863.5	95.8	1.8	1.8	0.0	0.0	31.1	842.2	44.0	863.5
16:36:13, Wednesday, March 19, 2025	4.016	1039.5	1089.0	-	95.5	0.0	31.0	842.1	55.0	863.5	96.9	1.8	1.8	0.0	0.0	31.0	842.1	55.0	863.5
16:36:13, Wednesday, March 19, 2025	4.391	1039.5	1089.0	-	95.5	0.0	31.1	841.8	33.0	847.0	96.2	1.7	1.8	0.0	0.0	31.1	841.8	33.0	847.0
16:36:14, Wednesday, March 19, 2025	4.782	1039.5	1105.5	-	94.0	0.0	31.3	842.5	38.5	858.0	96.4	1.7	1.8	0.0	0.0	31.3	842.5	38.5	858.0
16:36:14, Wednesday, March 19, 2025	5.141	1039.5	1100.0	-	94.5	0.0	31.1	842.3	49.5	852.5	95.9	1.8	1.8	0.0	0.0	31.1	842.3	49.5	852.5
16:36:14, Wednesday, March 19, 2025	5.516	1034.0	1094.5	-	94.5	0.0	30.7	842.8	38.5	847.0	96.5	1.7	1.8	0.0	0.0	30.7	842.8	38.5	847.0
16:36:15, Wednesday, March 19, 2025	5.907	1039.5	1089.0	-	95.5	0.0	31.3	842.6	33.0	852.5	96.2	1.7	1.8	0.0	0.0	31.3	842.6	33.0	852.5
16:36:15, Wednesday, March 19, 2025	6.282	1050.5	1094.5	-	96.0	0.0	31.3	840.9	33.0	847.0	96.9	1.7	1.8	0.0	0.0	31.3	840.9	33.0	847.0
16:36:15, Wednesday, March 19, 2025	6.641	1039.5	1089.0	-	95.5	0.0	31.0	842.0	49.5	852.5	96.8	1.8	1.8	0.0	0.0	31.0	842.0	49.5	852.5
16:36:16, Wednesday, March 19, 2025	7.016	1039.5	1083.5	-	95.9	0.0	30.7	842.6	55.0	858.0	96.4	1.7	1.8	0.0	0.0	30.7	842.6	55.0	858.0
16:36:16, Wednesday, March 19, 2025	7.391	1034.0	1067.0	-	96.9	0.0	31.4	842.1	60.5	863.5	95.6	1.7	1.8	0.0	0.0	31.4	842.1	60.5	863.5
16:36:16, Wednesday, March 19, 2025	7.766	1039.5	1089.0	-	95.5	0.0	30.6	843.0	55.0	858.0	95.7	1.7	1.8	0.0	0.0	30.6	843.0	55.0	858.0
16:36:17, Wednesday, March 19, 2025	8.141	1039.5	1089.0	-	95.5	0.0	30.9	841.0	38.5	858.0	96.0	1.7	1.8	0.0	0.0	30.9	841.0	38.5	858.0
16:36:17, Wednesday, March 19, 2025	8.500	1039.5	1083.5	-	95.9	0.0	31.0	842.9	55.0	863.5	95.8	1.7	1.8	0.0	0.0	31.0	842.9	55.0	863.5
16:36:18, Wednesday, March 19, 2025	8.891	1039.5	1083.5	-	95.9	0.0	30.7	842.6	55.0	852.5	95.8	1.8	1.8	0.0	0.0	30.7	842.6	55.0	852.5
16:36:18, Wednesday, March 19, 2025	9.266	1039.5	1078.0	-	96.4	0.0	30.6	842.0	44.0	847.0	96.8	1.8	1.8	0.0	0.0	30.6	842.0	44.0	847.0
16:36:18, Wednesday, March 19, 2025	9.625	1045.0	1100.0	-	95.0	0.0	30.7	841.1	44.0	847.0	96.2	1.7	1.8	0.0	0.0	30.7	841.1	44.0	847.0
16:36:19, Wednesday, March 19, 2025	10.000	1039.5	1078.0	-	96.4	0.0	31.1	842.4	49.5	852.5	96.2	1.7	1.8	0.0	0.0	31.1	842.4	49.5	852.5
16:36:19, Wednesday, March 19, 2025	10.375	1050.5	1089.0	-	96.5	0.0	30.9	842.3	33.0	847.0	96.8	1.8	1.8	0.0	0.0	30.9	842.3	33.0	847.0
16:36:19, Wednesday, March 19, 2025	10.750	1039.5	1100.0	-	94.5	0.0	30.9	841.4	27.5	847.0	95.8	1.7	1.8	0.0	0.0	30.9	841.4	27.5	847.0
16:36:20, Wednesday, March 19, 2025	11.110	1039.5	1083.5	-	95.9	0.0	31.1	842.7	49.5	852.5	96.4	1.8	1.8	0.0	0.0	31.1	842.7	49.5	852.5
16:36:20, Wednesday, March 19, 2025	11.500	1045.0	1083.5	-	96.4	0.0	31.1	842.5	49.5	852.5	97.0	1.8	1.8	0.0	0.0	31.1	842.5	49.5	852.5
16:36:21, Wednesday, March 19, 2025	11.860	1045.0	1089.0	-	96.0	0.0	31.4	842.4	33.0	852.5	96.3	1.8	1.8	0.0	0.0	31.4	842.4	33.0	852.5
16:36:21, Wednesday, March 19, 2025	12.250	1039.5	1083.5	-	95.9	0.0	31.0	843.0	33.0	852.5	95.6	1.8	1.8	0.0	0.0	31.0	843.0	33.0	852.5
16:36:21, Wednesday, March 19, 2025	12.610	1039.5	1089.0	-	95.5	0.0	31.2	841.4	55.0	858.0	95.9	1.7	1.8	0.0	0.0	31.2	841.4	55.0	858.0
16:36:22, Wednesday, March 19, 2025	12.969	1039.5	1094.5	-	95.0	0.0	31.3	841.9	33.0	852.5	96.7	1.8	1.8	0.0	0.0	31.3	841.9	33.0	852.5
16:36:22, Wednesday, March 19, 2025	13.328	1039.5	1094.5	-	95.0	0.0	31.7	841.7	49.5	852.5	96.8	1.7	1.8	0.0	0.0	31.7	841.7	49.5	852.5
16:36:22, Wednesday, March 19, 2025	13.719	1045.0	1089.0	-	96.0	0.0	31.7	842.6	49.5	852.5	96.8	1.8	1.8	0.0	0.0	31.7	842.6	49.5	852.5
16:36:23, Wednesday, March 19, 2025	14.094	1039.5	1094.5	-	95.0	0.0	31.4	841.1	49.5	863.5	95.9	1.7	1.8	0.0	0.0	31.4	841.1	49.5	863.5
16:36:23, Wednesday, March 19, 2025	14.469	1034.0	1089.0	-	94.9	0.0	31.3	841.1	33.0	847.0	95.8	1.7	1.8	0.0	0.0	31.3	841.1	33.0	847.0
16:36:24, Wednesday, March 19, 2025	14.828	1039.5	1083.5	-	95.9	0.0	31.0	842.3	27.5	847.0	96.9	1.8	1.8	0.0	0.0	31.0	842.3	27.5	847.0
16:36:24, Wednesday, March 19, 2025	15.203	1039.5	1078.0	-	96.4	0.0	30.9	842.9	49.5	863.5	96.6	1.7	1.8	0.0	0.0	30.9	842.9	49.5	863.5
16:36:24, Wednesday, March 19, 2025	15.563	1039.5	1089.0	-	95.5	0.0	31.2	843.3	44.0	847.0	95.9	1.8	1.8	0.0	0.0	31.2	843.3	44.0	847.0
16:36:25, Wednesday, March 19, 2025	15.938	1039.5	1083.5	-	95.9	0.0	31.3	842.8	44.0	847.0	96.4	1.7	1.8	0.0	0.0	31.3	842.8	44.0	847.0
