Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 1 pulse(s)
Total Duration: 0:0:0:30 (DD:HH:MM:SS)
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 X Baseline Position	 Y Baseline Position	 Delta Centroid X	 Delta Centroid Y	 Delta Peak X	 Delta Peak Y	  
 18:32:11, Wednesday, March 19, 2025	0.422	1589.5	1457.5	-	91.7	0.0	2021.1	898.3	1985.5	863.5	52.0	1.7	1.7	0.0	0.0	2021.1	898.3	1985.5	863.5
18:32:12, Wednesday, March 19, 2025	1.187	1589.5	1457.5	-	91.7	0.0	2021.0	898.1	1991.0	869.0	51.8	1.7	1.7	0.0	0.0	2021.0	898.1	1991.0	869.0
18:32:13, Wednesday, March 19, 2025	1.890	1589.5	1457.5	-	91.7	0.0	2021.1	898.1	1980.0	880.0	51.9	1.7	1.7	0.0	0.0	2021.1	898.1	1980.0	880.0
18:32:13, Wednesday, March 19, 2025	2.547	1584.0	1457.5	-	92.0	0.0	2021.0	898.1	1980.0	863.5	51.9	1.7	1.7	0.0	0.0	2021.0	898.1	1980.0	863.5
18:32:14, Wednesday, March 19, 2025	3.234	1584.0	1457.5	-	92.0	0.0	2021.1	898.2	1969.0	880.0	51.9	1.7	1.7	0.0	0.0	2021.1	898.2	1969.0	880.0
18:32:15, Wednesday, March 19, 2025	3.859	1589.5	1457.5	-	91.7	0.0	2021.1	898.4	1974.5	874.5	51.9	1.7	1.7	0.0	0.0	2021.1	898.4	1974.5	874.5
18:32:15, Wednesday, March 19, 2025	4.468	1589.5	1457.5	-	91.7	0.0	2021.1	898.6	1969.0	869.0	51.9	1.7	1.7	0.0	0.0	2021.1	898.6	1969.0	869.0
18:32:16, Wednesday, March 19, 2025	5.140	1584.0	1457.5	-	92.0	0.0	2021.0	898.6	1980.0	874.5	51.9	1.7	1.7	0.0	0.0	2021.0	898.6	1980.0	874.5
18:32:17, Wednesday, March 19, 2025	5.718	1584.0	1452.0	-	91.7	0.0	2021.1	898.2	1974.5	863.5	51.8	1.7	1.7	0.0	0.0	2021.1	898.2	1974.5	863.5
18:32:17, Wednesday, March 19, 2025	6.328	1589.5	1457.5	-	91.7	0.0	2021.4	898.4	1980.0	885.5	51.9	1.7	1.7	0.0	0.0	2021.4	898.4	1980.0	885.5
18:32:18, Wednesday, March 19, 2025	6.922	1584.0	1457.5	-	92.0	0.0	2021.1	898.8	1974.5	880.0	52.3	1.7	1.7	0.0	0.0	2021.1	898.8	1974.5	880.0
18:32:18, Wednesday, March 19, 2025	7.515	1584.0	1457.5	-	92.0	0.0	2021.1	898.2	1974.5	869.0	51.9	1.7	1.7	0.0	0.0	2021.1	898.2	1974.5	869.0
18:32:19, Wednesday, March 19, 2025	8.125	1589.5	1457.5	-	91.7	0.0	2021.1	898.3	1969.0	874.5	52.1	1.7	1.7	0.0	0.0	2021.1	898.3	1969.0	874.5
18:32:20, Wednesday, March 19, 2025	8.750	1589.5	1457.5	-	91.7	0.0	2021.2	898.2	1980.0	880.0	52.1	1.7	1.7	0.0	0.0	2021.2	898.2	1980.0	880.0
18:32:20, Wednesday, March 19, 2025	9.422	1584.0	1457.5	-	92.0	0.0	2021.1	898.4	1991.0	869.0	52.1	1.7	1.7	0.0	0.0	2021.1	898.4	1991.0	869.0
18:32:21, Wednesday, March 19, 2025	10.031	1584.0	1452.0	-	91.7	0.0	2021.1	898.6	1980.0	880.0	51.9	1.7	1.7	0.0	0.0	2021.1	898.6	1980.0	880.0
18:32:21, Wednesday, March 19, 2025	10.640	1578.5	1452.0	-	92.0	0.0	2021.2	898.2	1980.0	863.5	51.9	1.7	1.7	0.0	0.0	2021.2	898.2	1980.0	863.5
18:32:22, Wednesday, March 19, 2025	11.297	1584.0	1457.5	-	92.0	0.0	2021.1	898.5	1985.5	885.5	52.0	1.7	1.7	0.0	0.0	2021.1	898.5	1985.5	885.5
18:32:23, Wednesday, March 19, 2025	11.890	1578.5	1457.5	-	92.3	0.0	2021.2	898.0	1980.0	869.0	51.9	1.7	1.7	0.0	0.0	2021.2	898.0	1980.0	869.0
18:32:23, Wednesday, March 19, 2025	12.484	1584.0	1457.5	-	92.0	0.0	2021.3	898.5	1980.0	880.0	51.9	1.7	1.7	0.0	0.0	2021.3	898.5	1980.0	880.0
18:32:24, Wednesday, March 19, 2025	13.125	1584.0	1457.5	-	92.0	0.0	2021.2	898.4	1974.5	880.0	52.0	1.7	1.7	0.0	0.0	2021.2	898.4	1974.5	880.0
18:32:25, Wednesday, March 19, 2025	13.734	1589.5	1457.5	-	91.7	0.0	2021.2	898.3	1980.0	874.5	52.1	1.7	1.7	0.0	0.0	2021.2	898.3	1980.0	874.5
18:32:25, Wednesday, March 19, 2025	14.312	1584.0	1457.5	-	92.0	0.0	2021.2	898.4	1974.5	869.0	52.1	1.7	1.7	0.0	0.0	2021.2	898.4	1974.5	869.0
18:32:26, Wednesday, March 19, 2025	14.890	1584.0	1457.5	-	92.0	0.0	2021.1	898.5	1974.5	863.5	51.9	1.7	1.7	0.0	0.0	2021.1	898.5	1974.5	863.5
18:32:26, Wednesday, March 19, 2025	15.562	1584.0	1457.5	-	92.0	0.0	2021.1	898.3	1969.0	869.0	52.0	1.7	1.7	0.0	0.0	2021.1	898.3	1969.0	869.0
18:32:27, Wednesday, March 19, 2025	16.187	1584.0	1457.5	-	92.0	0.0	2021.3	898.5	1985.5	874.5	52.0	1.7	1.7	0.0	0.0	2021.3	898.5	1985.5	874.5
18:32:28, Wednesday, March 19, 2025	16.765	1584.0	1457.5	-	92.0	0.0	2021.1	898.0	1991.0	869.0	52.1	1.7	1.7	0.0	0.0	2021.1	898.0	1991.0	869.0
18:32:28, Wednesday, March 19, 2025	17.375	1584.0	1457.5	-	92.0	0.0	2021.2	898.4	1969.0	874.5	51.9	1.7	1.7	0.0	0.0	2021.2	898.4	1969.0	874.5
18:32:29, Wednesday, March 19, 2025	17.968	1584.0	1457.5	-	92.0	0.0	2021.1	898.3	1991.0	869.0	52.0	1.7	1.7	0.0	0.0	2021.1	898.3	1991.0	869.0
18:32:29, Wednesday, March 19, 2025	18.562	1584.0	1457.5	-	92.0	0.0	2021.3	898.1	1980.0	863.5	52.0	1.7	1.7	0.0	0.0	2021.3	898.1	1980.0	863.5
18:32:30, Wednesday, March 19, 2025	19.140	1578.5	1457.5	-	92.3	0.0	2021.2	898.3	1963.5	874.5	52.1	1.7	1.7	0.0	0.0	2021.2	898.3	1963.5	874.5
18:32:31, Wednesday, March 19, 2025	19.812	1589.5	1457.5	-	91.7	0.0	2021.2	898.6	1974.5	885.5	52.2	1.7	1.7	0.0	0.0	2021.2	898.6	1974.5	885.5
18:32:31, Wednesday, March 19, 2025	20.390	1589.5	1457.5	-	91.7	0.0	2021.1	898.3	1985.5	874.5	52.0	1.7	1.7	0.0	0.0	2021.1	898.3	1985.5	874.5
18:32:32, Wednesday, March 19, 2025	20.968	1589.5	1457.5	-	91.7	0.0	2021.1	898.3	1963.5	869.0	52.0	1.7	1.7	0.0	0.0	2021.1	898.3	1963.5	869.0
18:32:32, Wednesday, March 19, 2025	21.578	1578.5	1457.5	-	92.3	0.0	2021.0	898.6	1980.0	880.0	52.1	1.7	1.7	0.0	0.0	2021.0	898.6	1980.0	880.0
18:32:33, Wednesday, March 19, 2025	22.156	1589.5	1457.5	-	91.7	0.0	2021.1	898.5	1991.0	863.5	52.0	1.7	1.7	0.0	0.0	2021.1	898.5	1991.0	863.5
18:32:34, Wednesday, March 19, 2025	22.750	1584.0	1457.5	-	92.0	0.0	2021.1	898.7	1991.0	869.0	52.0	1.7	1.7	0.0	0.0	2021.1	898.7	1991.0	869.0
18:32:34, Wednesday, March 19, 2025	23.375	1584.0	1457.5	-	92.0	0.0	2021.1	898.1	1980.0	880.0	52.3	1.7	1.7	0.0	0.0	2021.1	898.1	1980.0	880.0
18:32:35, Wednesday, March 19, 2025	24.015	1589.5	1457.5	-	91.7	0.0	2021.0	898.4	1969.0	874.5	52.1	1.7	1.7	0.0	0.0	2021.0	898.4	1969.0	874.5
18:32:35, Wednesday, March 19, 2025	24.625	1584.0	1452.0	-	91.7	0.0	2021.1	898.3	1991.0	869.0	52.1	1.7	1.7	0.0	0.0	2021.1	898.3	1991.0	869.0
18:32:36, Wednesday, March 19, 2025	25.234	1589.5	1457.5	-	91.7	0.0	2020.9	898.5	1985.5	869.0	52.2	1.7	1.7	0.0	0.0	2020.9	898.5	1985.5	869.0
18:32:37, Wednesday, March 19, 2025	25.906	1584.0	1457.5	-	92.0	0.0	2021.0	898.5	1985.5	874.5	52.0	1.7	1.7	0.0	0.0	2021.0	898.5	1985.5	874.5
18:32:37, Wednesday, March 19, 2025	26.500	1584.0	1457.5	-	92.0	0.0	2020.9	898.3	1974.5	863.5	52.0	1.7	1.7	0.0	0.0	2020.9	898.3	1974.5	863.5
18:32:38, Wednesday, March 19, 2025	27.062	1584.0	1457.5	-	92.0	0.0	2021.0	898.8	1963.5	874.5	52.1	1.7	1.7	0.0	0.0	2021.0	898.8	1963.5	874.5
18:32:38, Wednesday, March 19, 2025	27.672	1589.5	1457.5	-	91.7	0.0	2021.1	898.4	1969.0	874.5	51.9	1.7	1.7	0.0	0.0	2021.1	898.4	1969.0	874.5
18:32:39, Wednesday, March 19, 2025	28.265	1584.0	1457.5	-	92.0	0.0	2021.2	898.4	1985.5	874.5	52.0	1.7	1.7	0.0	0.0	2021.2	898.4	1985.5	874.5
18:32:40, Wednesday, March 19, 2025	28.843	1589.5	1457.5	-	91.7	0.0	2021.2	898.4	1974.5	880.0	52.1	1.7	1.7	0.0	0.0	2021.2	898.4	1974.5	880.0
18:32:40, Wednesday, March 19, 2025	29.437	1589.5	1457.5	-	91.7	0.0	2021.2	898.6	1980.0	863.5	51.9	1.7	1.7	0.0	0.0	2021.2	898.6	1980.0	863.5
18:32:41, Wednesday, March 19, 2025	30.078	1584.0	1457.5	-	92.0	0.0	2021.2	898.0	1980.0	874.5	52.2	1.7	1.7	0.0	0.0	2021.2	898.0	1980.0	874.5
18:32:41, Wednesday, March 19, 2025	30.640	1584.0	1452.0	-	91.7	0.0	2021.0	898.3	1969.0	869.0	52.0	1.7	1.7	0.0	0.0	2021.0	898.3	1969.0	869.0
