Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 1 pulse(s)
Total Duration: 0:0:00:30 (DD:HH:MM:SS)
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 X Baseline Position	 Y Baseline Position	 Delta Centroid X	 Delta Centroid Y	 Delta Peak X	 Delta Peak Y	  
 17:33:32, Wednesday, March 19, 2025	0.125	1061.5	1122.0	-	94.6	0.0	239.6	-789.9	236.5	-792.0	28.4	1.7	1.7	0.0	0.0	239.6	-789.9	236.5	-792.0
17:33:32, Wednesday, March 19, 2025	0.766	1067.0	1116.5	-	95.6	0.0	236.2	-789.2	231.0	-808.5	28.4	1.7	1.7	0.0	0.0	236.2	-789.2	231.0	-808.5
17:33:33, Wednesday, March 19, 2025	1.391	1056.0	1116.5	-	94.6	0.0	243.5	-789.5	247.5	-797.5	28.6	1.7	1.7	0.0	0.0	243.5	-789.5	247.5	-797.5
17:33:34, Wednesday, March 19, 2025	2.031	1061.5	1116.5	-	95.1	0.0	238.0	-792.5	225.5	-797.5	28.4	1.7	1.7	0.0	0.0	238.0	-792.5	225.5	-797.5
17:33:34, Wednesday, March 19, 2025	2.703	1061.5	1122.0	-	94.6	0.0	233.4	-785.6	242.0	-797.5	28.3	1.7	1.7	0.0	0.0	233.4	-785.6	242.0	-797.5
17:33:35, Wednesday, March 19, 2025	3.391	1067.0	1116.5	-	95.6	0.0	238.5	-791.8	242.0	-803.0	28.2	1.7	1.7	0.0	0.0	238.5	-791.8	242.0	-803.0
17:33:36, Wednesday, March 19, 2025	4.109	1067.0	1122.0	-	95.1	0.0	238.3	-792.0	225.5	-797.5	28.4	1.7	1.7	0.0	0.0	238.3	-792.0	225.5	-797.5
17:33:36, Wednesday, March 19, 2025	4.781	1061.5	1116.5	-	95.1	0.0	238.2	-792.4	225.5	-797.5	28.2	1.7	1.7	0.0	0.0	238.2	-792.4	225.5	-797.5
17:33:37, Wednesday, March 19, 2025	5.469	1067.0	1116.5	-	95.6	0.0	237.4	-791.0	242.0	-792.0	28.5	1.7	1.7	0.0	0.0	237.4	-791.0	242.0	-792.0
17:33:38, Wednesday, March 19, 2025	6.141	1067.0	1116.5	-	95.6	0.0	231.3	-790.6	220.0	-814.0	28.3	1.7	1.7	0.0	0.0	231.3	-790.6	220.0	-814.0
17:33:38, Wednesday, March 19, 2025	6.797	1067.0	1122.0	-	95.1	0.0	232.4	-790.1	220.0	-808.5	28.3	1.7	1.7	0.0	0.0	232.4	-790.1	220.0	-808.5
17:33:39, Wednesday, March 19, 2025	7.422	1067.0	1122.0	-	95.1	0.0	234.1	-790.6	231.0	-808.5	28.2	1.7	1.7	0.0	0.0	234.1	-790.6	231.0	-808.5
17:33:40, Wednesday, March 19, 2025	8.062	1061.5	1116.5	-	95.1	0.0	240.3	-790.4	247.5	-792.0	28.3	1.7	1.7	0.0	0.0	240.3	-790.4	247.5	-792.0
17:33:40, Wednesday, March 19, 2025	8.687	1067.0	1116.5	-	95.6	0.0	242.3	-794.0	225.5	-797.5	28.4	1.7	1.7	0.0	0.0	242.3	-794.0	225.5	-797.5
17:33:41, Wednesday, March 19, 2025	9.297	1061.5	1122.0	-	94.6	0.0	240.8	-784.1	236.5	-803.0	28.3	1.7	1.7	0.0	0.0	240.8	-784.1	236.5	-803.0
17:33:41, Wednesday, March 19, 2025	9.906	1061.5	1111.0	-	95.5	0.0	233.1	-785.6	220.0	-808.5	28.3	1.7	1.7	0.0	0.0	233.1	-785.6	220.0	-808.5
17:33:42, Wednesday, March 19, 2025	10.531	1061.5	1122.0	-	94.6	0.0	241.6	-790.7	242.0	-803.0	28.4	1.7	1.7	0.0	0.0	241.6	-790.7	242.0	-803.0
17:33:43, Wednesday, March 19, 2025	11.156	1067.0	1116.5	-	95.6	0.0	238.6	-791.6	220.0	-808.5	28.4	1.7	1.7	0.0	0.0	238.6	-791.6	220.0	-808.5
17:33:43, Wednesday, March 19, 2025	11.812	1067.0	1116.5	-	95.6	0.0	223.1	-781.8	242.0	-797.5	28.2	1.7	1.7	0.0	0.0	223.1	-781.8	242.0	-797.5
17:33:44, Wednesday, March 19, 2025	12.391	1061.5	1116.5	-	95.1	0.0	240.9	-787.9	247.5	-797.5	28.4	1.7	1.7	0.0	0.0	240.9	-787.9	247.5	-797.5
