Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 1 pulse(s)
Total Duration: 0:0:0:30 (DD:HH:MM:SS)
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 X Baseline Position	 Y Baseline Position	 Delta Centroid X	 Delta Centroid Y	 Delta Peak X	 Delta Peak Y	  
 15:46:31, Wednesday, March 26, 2025	0.235	836.0	764.5	-	91.4	0.0	-284.7	890.1	-275.0	891.0	88.6	1.7	1.7	0.0	0.0	-284.7	890.1	-275.0	891.0
15:46:31, Wednesday, March 26, 2025	0.954	836.0	764.5	-	91.4	0.0	-284.6	890.3	-275.0	902.0	88.5	1.7	1.7	0.0	0.0	-284.6	890.3	-275.0	902.0
15:46:32, Wednesday, March 26, 2025	1.735	836.0	764.5	-	91.4	0.0	-284.6	890.0	-280.5	896.5	88.4	1.7	1.7	0.0	0.0	-284.6	890.0	-280.5	896.5
15:46:33, Wednesday, March 26, 2025	2.485	836.0	764.5	-	91.4	0.0	-284.7	890.1	-253.0	896.5	88.7	1.7	1.7	0.0	0.0	-284.7	890.1	-253.0	896.5
15:46:34, Wednesday, March 26, 2025	3.219	836.0	764.5	-	91.4	0.0	-284.6	890.2	-253.0	896.5	88.4	1.7	1.7	0.0	0.0	-284.6	890.2	-253.0	896.5
15:46:34, Wednesday, March 26, 2025	3.907	836.0	764.5	-	91.4	0.0	-284.6	890.3	-280.5	885.5	88.1	1.7	1.7	0.0	0.0	-284.6	890.3	-280.5	885.5
15:46:35, Wednesday, March 26, 2025	4.610	836.0	764.5	-	91.4	0.0	-284.7	890.3	-275.0	902.0	88.5	1.7	1.7	0.0	0.0	-284.7	890.3	-275.0	902.0
15:46:36, Wednesday, March 26, 2025	5.282	836.0	764.5	-	91.4	0.0	-284.7	890.2	-269.5	896.5	88.3	1.7	1.7	0.0	0.0	-284.7	890.2	-269.5	896.5
15:46:36, Wednesday, March 26, 2025	6.000	836.0	764.5	-	91.4	0.0	-284.6	890.1	-280.5	902.0	88.4	1.7	1.7	0.0	0.0	-284.6	890.1	-280.5	902.0
15:46:37, Wednesday, March 26, 2025	6.704	836.0	764.5	-	91.4	0.0	-284.7	890.3	-253.0	891.0	88.3	1.7	1.7	0.0	0.0	-284.7	890.3	-253.0	891.0
15:46:38, Wednesday, March 26, 2025	7.454	836.0	764.5	-	91.4	0.0	-284.6	890.1	-275.0	902.0	88.3	1.7	1.7	0.0	0.0	-284.6	890.1	-275.0	902.0
15:46:39, Wednesday, March 26, 2025	8.219	836.0	764.5	-	91.4	0.0	-284.6	890.0	-258.5	891.0	88.4	1.7	1.7	0.0	0.0	-284.6	890.0	-258.5	891.0
15:46:39, Wednesday, March 26, 2025	8.938	836.0	764.5	-	91.4	0.0	-284.5	889.9	-264.0	896.5	88.6	1.7	1.7	0.0	0.0	-284.5	889.9	-264.0	896.5
15:46:40, Wednesday, March 26, 2025	9.641	836.0	764.5	-	91.4	0.0	-284.6	890.2	-275.0	902.0	88.6	1.7	1.7	0.0	0.0	-284.6	890.2	-275.0	902.0
15:46:41, Wednesday, March 26, 2025	10.360	836.0	764.5	-	91.4	0.0	-284.5	890.2	-269.5	902.0	88.5	1.7	1.7	0.0	0.0	-284.5	890.2	-269.5	902.0
15:46:42, Wednesday, March 26, 2025	11.079	836.0	764.5	-	91.4	0.0	-284.6	890.3	-269.5	896.5	88.4	1.7	1.7	0.0	0.0	-284.6	890.3	-269.5	896.5
15:46:42, Wednesday, March 26, 2025	11.797	836.0	764.5	-	91.4	0.0	-284.6	890.2	-275.0	891.0	88.8	1.7	1.7	0.0	0.0	-284.6	890.2	-275.0	891.0
15:46:43, Wednesday, March 26, 2025	12.516	836.0	764.5	-	91.4	0.0	-284.6	890.1	-258.5	896.5	88.4	1.7	1.7	0.0	0.0	-284.6	890.1	-258.5	896.5
15:46:44, Wednesday, March 26, 2025	13.204	836.0	764.5	-	91.4	0.0	-284.6	890.1	-280.5	885.5	88.4	1.7	1.7	0.0	0.0	-284.6	890.1	-280.5	885.5
15:46:44, Wednesday, March 26, 2025	13.922	836.0	764.5	-	91.4	0.0	-284.5	890.1	-275.0	902.0	88.3	1.7	1.7	0.0	0.0	-284.5	890.1	-275.0	902.0
15:46:45, Wednesday, March 26, 2025	14.625	836.0	764.5	-	91.4	0.0	-284.6	890.0	-275.0	902.0	88.5	1.7	1.7	0.0	0.0	-284.6	890.0	-275.0	902.0
15:46:46, Wednesday, March 26, 2025	15.360	836.0	764.5	-	91.4	0.0	-284.7	890.0	-264.0	896.5	88.5	1.7	1.7	0.0	0.0	-284.7	890.0	-264.0	896.5
