Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 1 pulse(s)
Total Duration: 0:0:0:30 (DD:HH:MM:SS)
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 X Baseline Position	 Y Baseline Position	 Delta Centroid X	 Delta Centroid Y	 Delta Peak X	 Delta Peak Y	  
 16:00:39, Wednesday, March 26, 2025	0.546	242.0	231.0	-	95.5	0.0	94.5	991.6	88.0	984.5	71.0	1.7	1.7	0.0	0.0	94.5	991.6	88.0	984.5
16:00:40, Wednesday, March 26, 2025	1.328	242.0	231.0	-	95.5	0.0	94.6	991.6	93.5	1001.0	71.2	1.7	1.7	0.0	0.0	94.6	991.6	93.5	1001.0
16:00:41, Wednesday, March 26, 2025	2.156	242.0	231.0	-	95.5	0.0	94.5	991.5	93.5	1001.0	71.2	1.7	1.7	0.0	0.0	94.5	991.5	93.5	1001.0
16:00:42, Wednesday, March 26, 2025	2.906	242.0	231.0	-	95.5	0.0	94.6	991.4	93.5	1001.0	71.3	1.7	1.7	0.0	0.0	94.6	991.4	93.5	1001.0
16:00:42, Wednesday, March 26, 2025	3.656	242.0	231.0	-	95.5	0.0	94.6	991.5	93.5	1001.0	70.9	1.7	1.7	0.0	0.0	94.6	991.5	93.5	1001.0
16:00:43, Wednesday, March 26, 2025	4.421	242.0	231.0	-	95.5	0.0	94.6	991.5	88.0	984.5	71.0	1.7	1.7	0.0	0.0	94.6	991.5	88.0	984.5
16:00:44, Wednesday, March 26, 2025	5.125	242.0	231.0	-	95.5	0.0	94.5	991.5	93.5	1001.0	70.9	1.7	1.7	0.0	0.0	94.5	991.5	93.5	1001.0
16:00:45, Wednesday, March 26, 2025	5.859	242.0	231.0	-	95.5	0.0	94.5	991.6	88.0	984.5	71.0	1.7	1.7	0.0	0.0	94.5	991.6	88.0	984.5
16:00:45, Wednesday, March 26, 2025	6.578	242.0	231.0	-	95.5	0.0	94.6	991.6	93.5	1001.0	71.1	1.7	1.7	0.0	0.0	94.6	991.6	93.5	1001.0
16:00:46, Wednesday, March 26, 2025	7.250	242.0	231.0	-	95.5	0.0	94.6	991.5	88.0	984.5	71.2	1.7	1.7	0.0	0.0	94.6	991.5	88.0	984.5
16:00:47, Wednesday, March 26, 2025	8.031	242.0	231.0	-	95.5	0.0	94.6	991.5	88.0	984.5	70.9	1.7	1.6	0.0	0.0	94.6	991.5	88.0	984.5
16:00:47, Wednesday, March 26, 2025	8.734	242.0	231.0	-	95.5	0.0	94.5	991.4	88.0	984.5	71.1	1.7	1.7	0.0	0.0	94.5	991.4	88.0	984.5
