Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 1 pulse(s)
Total Duration: 0:0:0:30 (DD:HH:MM:SS)
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 X Baseline Position	 Y Baseline Position	 Delta Centroid X	 Delta Centroid Y	 Delta Peak X	 Delta Peak Y	  
 18:20:37, Wednesday, March 26, 2025	0.141	1116.5	1193.5	-	93.5	0.0	2997.9	461.5	3036.0	412.5	81.1	1.6	1.6	0.0	0.0	2997.9	461.5	3036.0	412.5
18:20:38, Wednesday, March 26, 2025	0.844	1116.5	1193.5	-	93.5	0.0	2997.6	463.1	3019.5	467.5	81.3	1.7	1.6	0.0	0.0	2997.6	463.1	3019.5	467.5
18:20:38, Wednesday, March 26, 2025	1.547	1116.5	1193.5	-	93.5	0.0	3000.1	461.2	3014.0	407.0	81.4	1.6	1.6	0.0	0.0	3000.1	461.2	3014.0	407.0
18:20:39, Wednesday, March 26, 2025	2.172	1116.5	1199.0	-	93.1	0.0	2999.3	461.4	3019.5	412.5	81.5	1.6	1.6	0.0	0.0	2999.3	461.4	3019.5	412.5
18:20:40, Wednesday, March 26, 2025	2.844	1116.5	1193.5	-	93.5	0.0	2999.2	461.7	3030.5	423.5	81.5	1.6	1.6	0.0	0.0	2999.2	461.7	3030.5	423.5
18:20:40, Wednesday, March 26, 2025	3.531	1116.5	1193.5	-	93.5	0.0	2999.8	459.4	3019.5	412.5	81.6	1.6	1.6	0.0	0.0	2999.8	459.4	3019.5	412.5
18:20:41, Wednesday, March 26, 2025	4.141	1116.5	1193.5	-	93.5	0.0	2998.9	461.5	3025.0	418.0	81.4	1.6	1.6	0.0	0.0	2998.9	461.5	3025.0	418.0
18:20:42, Wednesday, March 26, 2025	4.781	1116.5	1199.0	-	93.1	0.0	2999.9	461.1	3047.0	429.0	81.4	1.6	1.6	0.0	0.0	2999.9	461.1	3047.0	429.0
18:20:42, Wednesday, March 26, 2025	5.406	1116.5	1193.5	-	93.5	0.0	2998.5	461.6	3019.5	407.0	81.2	1.6	1.6	0.0	0.0	2998.5	461.6	3019.5	407.0
18:20:43, Wednesday, March 26, 2025	5.984	1116.5	1193.5	-	93.5	0.0	2999.3	461.5	3019.5	407.0	81.4	1.6	1.6	0.0	0.0	2999.3	461.5	3019.5	407.0
18:20:43, Wednesday, March 26, 2025	6.562	1116.5	1193.5	-	93.5	0.0	2998.5	461.0	3041.5	429.0	81.4	1.6	1.6	0.0	0.0	2998.5	461.0	3041.5	429.0
18:20:44, Wednesday, March 26, 2025	7.156	1116.5	1199.0	-	93.1	0.0	2998.3	460.3	3019.5	407.0	81.2	1.6	1.6	0.0	0.0	2998.3	460.3	3019.5	407.0
18:20:45, Wednesday, March 26, 2025	7.797	1116.5	1199.0	-	93.1	0.0	2999.8	460.5	3014.0	407.0	81.6	1.6	1.6	0.0	0.0	2999.8	460.5	3014.0	407.0
18:20:45, Wednesday, March 26, 2025	8.375	1122.0	1199.0	-	93.6	0.0	2996.9	461.2	3014.0	407.0	81.5	1.7	1.6	0.0	0.0	2996.9	461.2	3014.0	407.0
18:20:46, Wednesday, March 26, 2025	8.953	1116.5	1199.0	-	93.1	0.0	2997.5	460.5	3003.0	401.5	81.3	1.6	1.6	0.0	0.0	2997.5	460.5	3003.0	401.5
18:20:46, Wednesday, March 26, 2025	9.578	1116.5	1193.5	-	93.5	0.0	2997.8	461.4	3047.0	423.5	81.3	1.6	1.6	0.0	0.0	2997.8	461.4	3047.0	423.5
18:20:47, Wednesday, March 26, 2025	10.141	1116.5	1193.5	-	93.5	0.0	2997.6	460.0	3025.0	418.0	81.4	1.6	1.6	0.0	0.0	2997.6	460.0	3025.0	418.0
18:20:48, Wednesday, March 26, 2025	10.750	1116.5	1193.5	-	93.5	0.0	2998.1	459.9	3041.5	418.0	81.4	1.6	1.6	0.0	0.0	2998.1	459.9	3041.5	418.0
18:20:48, Wednesday, March 26, 2025	11.328	1116.5	1188.0	-	94.0	0.0	2998.8	460.6	3025.0	407.0	81.5	1.6	1.6	0.0	0.0	2998.8	460.6	3025.0	407.0
18:20:49, Wednesday, March 26, 2025	11.953	1116.5	1193.5	-	93.5	0.0	2998.8	462.0	3008.5	407.0	81.4	1.6	1.6	0.0	0.0	2998.8	462.0	3008.5	407.0
18:20:49, Wednesday, March 26, 2025	12.562	1116.5	1193.5	-	93.5	0.0	2999.6	461.1	3014.0	407.0	81.3	1.6	1.6	0.0	0.0	2999.6	461.1	3014.0	407.0
18:20:50, Wednesday, March 26, 2025	13.156	1116.5	1199.0	-	93.1	0.0	2999.4	461.2	3019.5	407.0	81.3	1.6	1.6	0.0	0.0	2999.4	461.2	3019.5	407.0
18:20:51, Wednesday, March 26, 2025	13.766	1116.5	1199.0	-	93.1	0.0	2998.9	460.5	3047.0	423.5	81.5	1.6	1.6	0.0	0.0	2998.9	460.5	3047.0	423.5
18:20:51, Wednesday, March 26, 2025	14.344	1116.5	1193.5	-	93.5	0.0	2998.0	461.9	3019.5	407.0	81.4	1.6	1.6	0.0	0.0	2998.0	461.9	3019.5	407.0
18:20:52, Wednesday, March 26, 2025	14.937	1116.5	1193.5	-	93.5	0.0	2998.6	460.3	3036.0	412.5	81.6	1.6	1.6	0.0	0.0	2998.6	460.3	3036.0	412.5
18:20:52, Wednesday, March 26, 2025	15.547	1116.5	1188.0	-	94.0	0.0	2998.2	461.1	3008.5	467.5	81.3	1.6	1.6	0.0	0.0	2998.2	461.1	3008.5	467.5
18:20:53, Wednesday, March 26, 2025	16.125	1116.5	1193.5	-	93.5	0.0	2996.6	462.5	3008.5	462.0	81.4	1.7	1.6	0.0	0.0	2996.6	462.5	3008.5	462.0
18:20:54, Wednesday, March 26, 2025	16.703	1116.5	1199.0	-	93.1	0.0	2998.0	461.3	3019.5	473.0	81.2	1.6	1.6	0.0	0.0	2998.0	461.3	3019.5	473.0
18:20:54, Wednesday, March 26, 2025	17.281	1116.5	1193.5	-	93.5	0.0	2998.1	461.6	3019.5	407.0	81.4	1.6	1.6	0.0	0.0	2998.1	461.6	3019.5	407.0
18:20:55, Wednesday, March 26, 2025	17.937	1116.5	1199.0	-	93.1	0.0	2998.7	461.6	3036.0	423.5	81.2	1.6	1.6	0.0	0.0	2998.7	461.6	3036.0	423.5
18:20:55, Wednesday, March 26, 2025	18.531	1116.5	1193.5	-	93.5	0.0	2998.2	460.7	3014.0	407.0	81.2	1.6	1.6	0.0	0.0	2998.2	460.7	3014.0	407.0
