Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 1 pulse(s)
Total Duration: 0:0:0:30 (DD:HH:MM:SS)
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 X Baseline Position	 Y Baseline Position	 Delta Centroid X	 Delta Centroid Y	 Delta Peak X	 Delta Peak Y	  
 16:24:33, Wednesday, April 02, 2025	0.454	1105.5	1188.0	-	93.1	0.0	1688.4	342.0	1710.5	291.5	83.3	1.7	1.7	0.0	0.0	1688.4	342.0	1710.5	291.5
16:24:34, Wednesday, April 02, 2025	1.094	1105.5	1188.0	-	93.1	0.0	1687.6	343.8	1694.0	286.0	83.6	1.7	1.7	0.0	0.0	1687.6	343.8	1694.0	286.0
16:24:35, Wednesday, April 02, 2025	1.750	1105.5	1188.0	-	93.1	0.0	1681.6	338.5	1710.5	302.5	83.3	1.7	1.7	0.0	0.0	1681.6	338.5	1710.5	302.5
16:24:35, Wednesday, April 02, 2025	2.375	1105.5	1182.5	-	93.5	0.0	1686.9	344.2	1699.5	286.0	83.8	1.7	1.7	0.0	0.0	1686.9	344.2	1699.5	286.0
16:24:36, Wednesday, April 02, 2025	3.000	1105.5	1188.0	-	93.1	0.0	1689.5	339.8	1710.5	291.5	83.6	1.7	1.7	0.0	0.0	1689.5	339.8	1710.5	291.5
16:24:36, Wednesday, April 02, 2025	3.625	1111.0	1188.0	-	93.5	0.0	1691.6	340.6	1716.0	302.5	83.5	1.7	1.7	0.0	0.0	1691.6	340.6	1716.0	302.5
16:24:37, Wednesday, April 02, 2025	4.266	1105.5	1188.0	-	93.1	0.0	1692.3	336.6	1694.0	286.0	83.6	1.7	1.7	0.0	0.0	1692.3	336.6	1694.0	286.0
16:24:38, Wednesday, April 02, 2025	4.860	1105.5	1188.0	-	93.1	0.0	1693.0	343.3	1699.5	291.5	83.3	1.7	1.7	0.0	0.0	1693.0	343.3	1699.5	291.5
16:24:38, Wednesday, April 02, 2025	5.469	1100.0	1188.0	-	92.6	0.0	1690.4	342.5	1694.0	291.5	83.4	1.7	1.7	0.0	0.0	1690.4	342.5	1694.0	291.5
16:24:39, Wednesday, April 02, 2025	6.079	1100.0	1188.0	-	92.6	0.0	1690.4	337.8	1699.5	286.0	83.2	1.7	1.7	0.0	0.0	1690.4	337.8	1699.5	286.0
16:24:39, Wednesday, April 02, 2025	6.672	1100.0	1182.5	-	93.0	0.0	1690.4	341.9	1694.0	286.0	83.7	1.7	1.7	0.0	0.0	1690.4	341.9	1694.0	286.0
16:24:40, Wednesday, April 02, 2025	7.297	1105.5	1188.0	-	93.1	0.0	1692.0	340.7	1699.5	286.0	83.6	1.7	1.7	0.0	0.0	1692.0	340.7	1699.5	286.0
16:24:41, Wednesday, April 02, 2025	7.907	1105.5	1188.0	-	93.1	0.0	1676.2	342.6	1683.0	286.0	82.8	1.7	1.7	0.0	0.0	1676.2	342.6	1683.0	286.0
16:24:41, Wednesday, April 02, 2025	8.516	1100.0	1193.5	-	92.2	0.0	1677.0	336.0	1694.0	297.0	82.7	1.7	1.7	0.0	0.0	1677.0	336.0	1694.0	297.0
16:24:42, Wednesday, April 02, 2025	9.141	1100.0	1182.5	-	93.0	0.0	1707.9	326.0	1699.5	286.0	83.4	1.7	1.7	0.0	0.0	1707.9	326.0	1699.5	286.0
16:24:43, Wednesday, April 02, 2025	9.766	1105.5	1188.0	-	93.1	0.0	1691.8	345.9	1721.5	302.5	83.1	1.7	1.7	0.0	0.0	1691.8	345.9	1721.5	302.5
16:24:43, Wednesday, April 02, 2025	10.375	1094.5	1193.5	-	91.7	0.0	1695.7	343.2	1694.0	291.5	83.0	1.7	1.7	0.0	0.0	1695.7	343.2	1694.0	291.5
16:24:44, Wednesday, April 02, 2025	10.985	1105.5	1193.5	-	92.6	0.0	1688.5	342.3	1694.0	286.0	82.6	1.7	1.7	0.0	0.0	1688.5	342.3	1694.0	286.0
16:24:44, Wednesday, April 02, 2025	11.594	1105.5	1193.5	-	92.6	0.0	1690.4	334.7	1694.0	286.0	82.9	1.7	1.7	0.0	0.0	1690.4	334.7	1694.0	286.0
16:24:45, Wednesday, April 02, 2025	12.204	1105.5	1188.0	-	93.1	0.0	1690.5	323.3	1699.5	297.0	82.7	1.7	1.7	0.0	0.0	1690.5	323.3	1699.5	297.0
16:24:46, Wednesday, April 02, 2025	12.813	1105.5	1193.5	-	92.6	0.0	1695.2	346.5	1699.5	291.5	82.8	1.7	1.7	0.0	0.0	1695.2	346.5	1699.5	291.5
16:24:46, Wednesday, April 02, 2025	13.438	1100.0	1193.5	-	92.2	0.0	1689.1	342.8	1694.0	286.0	82.7	1.7	1.7	0.0	0.0	1689.1	342.8	1694.0	286.0
16:24:47, Wednesday, April 02, 2025	14.047	1105.5	1193.5	-	92.6	0.0	1702.4	345.1	1727.0	308.0	82.8	1.7	1.7	0.0	0.0	1702.4	345.1	1727.0	308.0
16:24:47, Wednesday, April 02, 2025	14.641	1105.5	1188.0	-	93.1	0.0	1682.2	343.5	1710.5	297.0	82.8	1.7	1.7	0.0	0.0	1682.2	343.5	1710.5	297.0
16:24:48, Wednesday, April 02, 2025	15.250	1105.5	1188.0	-	93.1	0.0	1684.9	338.2	1710.5	302.5	82.4	1.7	1.7	0.0	0.0	1684.9	338.2	1710.5	302.5
16:24:49, Wednesday, April 02, 2025	15.844	1105.5	1193.5	-	92.6	0.0	1682.6	339.8	1710.5	297.0	83.0	1.7	1.7	0.0	0.0	1682.6	339.8	1710.5	297.0
16:24:49, Wednesday, April 02, 2025	16.532	1105.5	1193.5	-	92.6	0.0	1689.0	345.6	1710.5	291.5	82.8	1.7	1.7	0.0	0.0	1689.0	345.6	1710.5	291.5
16:24:50, Wednesday, April 02, 2025	17.235	1100.0	1193.5	-	92.2	0.0	1694.7	353.8	1705.0	302.5	82.6	1.7	1.7	0.0	0.0	1694.7	353.8	1705.0	302.5
16:24:51, Wednesday, April 02, 2025	17.891	1100.0	1193.5	-	92.2	0.0	1682.4	347.3	1710.5	297.0	83.1	1.7	1.7	0.0	0.0	1682.4	347.3	1710.5	297.0
16:24:51, Wednesday, April 02, 2025	18.594	1100.0	1188.0	-	92.6	0.0	1694.2	349.2	1716.0	297.0	83.1	1.7	1.7	0.0	0.0	1694.2	349.2	1716.0	297.0
16:24:52, Wednesday, April 02, 2025	19.282	1100.0	1188.0	-	92.6	0.0	1684.1	338.4	1688.5	291.5	83.0	1.7	1.7	0.0	0.0	1684.1	338.4	1688.5	291.5
16:24:53, Wednesday, April 02, 2025	19.954	1105.5	1193.5	-	92.6	0.0	1704.4	346.9	1705.0	297.0	83.1	1.7	1.7	0.0	0.0	1704.4	346.9	1705.0	297.0
16:24:53, Wednesday, April 02, 2025	20.688	1105.5	1188.0	-	93.1	0.0	1692.4	345.0	1705.0	291.5	83.0	1.7	1.7	0.0	0.0	1692.4	345.0	1705.0	291.5
16:24:54, Wednesday, April 02, 2025	21.360	1100.0	1188.0	-	92.6	0.0	1685.1	341.9	1705.0	302.5	83.1	1.7	1.7	0.0	0.0	1685.1	341.9	1705.0	302.5
16:24:55, Wednesday, April 02, 2025	22.047	1105.5	1188.0	-	93.1	0.0	1691.3	344.6	1705.0	302.5	82.9	1.7	1.7	0.0	0.0	1691.3	344.6	1705.0	302.5
16:24:56, Wednesday, April 02, 2025	22.735	1105.5	1188.0	-	93.1	0.0	1687.6	336.1	1716.0	297.0	82.8	1.7	1.7	0.0	0.0	1687.6	336.1	1716.0	297.0
16:24:56, Wednesday, April 02, 2025	23.422	1111.0	1199.0	-	92.7	0.0	1689.9	350.1	1699.5	297.0	82.7	1.7	1.7	0.0	0.0	1689.9	350.1	1699.5	297.0
16:24:57, Wednesday, April 02, 2025	24.110	1100.0	1188.0	-	92.6	0.0	1686.9	350.4	1705.0	291.5	83.0	1.7	1.7	0.0	0.0	1686.9	350.4	1705.0	291.5
16:24:58, Wednesday, April 02, 2025	24.829	1094.5	1193.5	-	91.7	0.0	1685.5	347.1	1716.0	302.5	83.1	1.7	1.7	0.0	0.0	1685.5	347.1	1716.0	302.5
16:24:58, Wednesday, April 02, 2025	25.516	1105.5	1188.0	-	93.1	0.0	1691.1	344.4	1705.0	302.5	83.2	1.7	1.7	0.0	0.0	1691.1	344.4	1705.0	302.5
16:24:59, Wednesday, April 02, 2025	26.188	1105.5	1193.5	-	92.6	0.0	1691.3	346.3	1721.5	308.0	82.8	1.7	1.7	0.0	0.0	1691.3	346.3	1721.5	308.0
16:25:00, Wednesday, April 02, 2025	26.891	1100.0	1193.5	-	92.2	0.0	1689.6	341.0	1705.0	302.5	83.2	1.7	1.7	0.0	0.0	1689.6	341.0	1705.0	302.5
16:25:00, Wednesday, April 02, 2025	27.563	1105.5	1193.5	-	92.6	0.0	1691.2	347.8	1710.5	291.5	83.2	1.7	1.7	0.0	0.0	1691.2	347.8	1710.5	291.5
16:25:01, Wednesday, April 02, 2025	28.282	1105.5	1193.5	-	92.6	0.0	1692.0	345.1	1699.5	297.0	83.1	1.7	1.7	0.0	0.0	1692.0	345.1	1699.5	297.0
16:25:02, Wednesday, April 02, 2025	28.938	1105.5	1193.5	-	92.6	0.0	1680.4	332.1	1688.5	291.5	82.5	1.7	1.7	0.0	0.0	1680.4	332.1	1688.5	291.5
16:25:02, Wednesday, April 02, 2025	29.625	1100.0	1193.5	-	92.2	0.0	1688.4	339.7	1716.0	297.0	83.1	1.7	1.7	0.0	0.0	1688.4	339.7	1716.0	297.0
16:25:03, Wednesday, April 02, 2025	30.329	1105.5	1193.5	-	92.6	0.0	1691.9	342.1	1694.0	291.5	83.0	1.7	1.7	0.0	0.0	1691.9	342.1	1694.0	291.5
