Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 1 pulse(s)
Total Duration: 0:0:0:30 (DD:HH:MM:SS)
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 X Baseline Position	 Y Baseline Position	 Delta Centroid X	 Delta Centroid Y	 Delta Peak X	 Delta Peak Y	  
 18:27:44, Thursday, April 03, 2025	0.734	1512.5	1358.5	-	89.8	0.0	597.4	-884.1	577.5	-907.5	23.4	1.7	1.7	0.0	0.0	597.4	-884.1	577.5	-907.5
18:27:45, Thursday, April 03, 2025	1.562	1512.5	1358.5	-	89.8	0.0	596.9	-884.9	566.5	-907.5	23.6	1.7	1.7	0.0	0.0	596.9	-884.9	566.5	-907.5
18:27:45, Thursday, April 03, 2025	2.359	1507.0	1364.0	-	90.5	0.0	596.0	-885.6	583.0	-913.0	23.4	1.7	1.7	0.0	0.0	596.0	-885.6	583.0	-913.0
18:27:46, Thursday, April 03, 2025	3.140	1507.0	1364.0	-	90.5	0.0	596.6	-885.0	544.5	-907.5	23.4	1.7	1.7	0.0	0.0	596.6	-885.0	544.5	-907.5
18:27:47, Thursday, April 03, 2025	3.953	1518.0	1364.0	-	89.9	0.0	596.9	-884.7	572.0	-907.5	23.4	1.7	1.7	0.0	0.0	596.9	-884.7	572.0	-907.5
18:27:48, Thursday, April 03, 2025	4.734	1518.0	1364.0	-	89.9	0.0	596.1	-884.7	577.5	-918.5	23.5	1.7	1.7	0.0	0.0	596.1	-884.7	577.5	-918.5
18:27:49, Thursday, April 03, 2025	5.547	1523.5	1375.0	-	90.3	0.0	597.7	-884.9	561.0	-913.0	23.6	1.7	1.7	0.0	0.0	597.7	-884.9	561.0	-913.0
18:27:49, Thursday, April 03, 2025	6.328	1512.5	1364.0	-	90.2	0.0	597.1	-884.4	583.0	-902.0	23.4	1.7	1.7	0.0	0.0	597.1	-884.4	583.0	-902.0
18:27:50, Thursday, April 03, 2025	7.125	1518.0	1364.0	-	89.9	0.0	596.5	-884.6	555.5	-907.5	23.6	1.7	1.7	0.0	0.0	596.5	-884.6	555.5	-907.5
18:27:51, Thursday, April 03, 2025	7.922	1518.0	1364.0	-	89.9	0.0	596.4	-884.5	583.0	-907.5	23.4	1.7	1.7	0.0	0.0	596.4	-884.5	583.0	-907.5
18:27:52, Thursday, April 03, 2025	8.750	1512.5	1364.0	-	90.2	0.0	597.1	-884.2	577.5	-918.5	23.5	1.7	1.7	0.0	0.0	597.1	-884.2	577.5	-918.5
18:27:53, Thursday, April 03, 2025	9.531	1512.5	1358.5	-	89.8	0.0	597.1	-884.9	561.0	-907.5	23.5	1.7	1.7	0.0	0.0	597.1	-884.9	561.0	-907.5
18:27:53, Thursday, April 03, 2025	10.312	1512.5	1375.0	-	90.9	0.0	597.5	-884.0	555.5	-907.5	23.5	1.7	1.7	0.0	0.0	597.5	-884.0	555.5	-907.5
18:27:54, Thursday, April 03, 2025	11.093	1512.5	1364.0	-	90.2	0.0	596.9	-884.7	555.5	-913.0	23.4	1.7	1.7	0.0	0.0	596.9	-884.7	555.5	-913.0
18:27:55, Thursday, April 03, 2025	11.906	1507.0	1364.0	-	90.5	0.0	597.0	-884.6	566.5	-902.0	23.5	1.7	1.7	0.0	0.0	597.0	-884.6	566.5	-902.0
18:27:56, Thursday, April 03, 2025	12.703	1518.0	1369.5	-	90.2	0.0	597.1	-884.5	583.0	-907.5	23.5	1.7	1.7	0.0	0.0	597.1	-884.5	583.0	-907.5
18:27:57, Thursday, April 03, 2025	13.500	1512.5	1369.5	-	90.5	0.0	596.4	-884.3	555.5	-907.5	23.5	1.7	1.7	0.0	0.0	596.4	-884.3	555.5	-907.5
18:27:57, Thursday, April 03, 2025	14.265	1518.0	1364.0	-	89.9	0.0	596.7	-884.8	583.0	-913.0	23.6	1.7	1.7	0.0	0.0	596.7	-884.8	583.0	-913.0
18:27:58, Thursday, April 03, 2025	15.093	1523.5	1375.0	-	90.3	0.0	596.7	-884.8	561.0	-907.5	23.5	1.7	1.7	0.0	0.0	596.7	-884.8	561.0	-907.5
18:27:59, Thursday, April 03, 2025	15.890	1518.0	1358.5	-	89.5	0.0	597.0	-884.6	583.0	-913.0	23.5	1.7	1.7	0.0	0.0	597.0	-884.6	583.0	-913.0
18:28:00, Thursday, April 03, 2025	16.687	1518.0	1364.0	-	89.9	0.0	596.6	-884.9	588.5	-913.0	23.6	1.7	1.7	0.0	0.0	596.6	-884.9	588.5	-913.0
18:28:00, Thursday, April 03, 2025	17.468	1523.5	1375.0	-	90.3	0.0	596.6	-884.3	583.0	-907.5	23.7	1.7	1.7	0.0	0.0	596.6	-884.3	583.0	-907.5
18:28:01, Thursday, April 03, 2025	18.265	1518.0	1369.5	-	90.2	0.0	596.7	-884.6	572.0	-918.5	23.5	1.7	1.7	0.0	0.0	596.7	-884.6	572.0	-918.5
18:28:02, Thursday, April 03, 2025	19.062	1512.5	1369.5	-	90.5	0.0	596.7	-884.4	561.0	-907.5	23.7	1.7	1.7	0.0	0.0	596.7	-884.4	561.0	-907.5
18:28:03, Thursday, April 03, 2025	19.843	1518.0	1364.0	-	89.9	0.0	596.8	-885.3	566.5	-918.5	23.5	1.7	1.7	0.0	0.0	596.8	-885.3	566.5	-918.5
18:28:04, Thursday, April 03, 2025	20.640	1518.0	1369.5	-	90.2	0.0	596.4	-884.8	577.5	-907.5	23.5	1.7	1.7	0.0	0.0	596.4	-884.8	577.5	-907.5
18:28:04, Thursday, April 03, 2025	21.453	1523.5	1375.0	-	90.3	0.0	596.3	-884.8	594.0	-907.5	23.6	1.7	1.7	0.0	0.0	596.3	-884.8	594.0	-907.5
18:28:05, Thursday, April 03, 2025	22.234	1512.5	1369.5	-	90.5	0.0	596.6	-885.1	583.0	-907.5	23.6	1.7	1.7	0.0	0.0	596.6	-885.1	583.0	-907.5
18:28:06, Thursday, April 03, 2025	23.047	1523.5	1364.0	-	89.5	0.0	596.7	-884.4	577.5	-918.5	23.5	1.7	1.7	0.0	0.0	596.7	-884.4	577.5	-918.5
18:28:07, Thursday, April 03, 2025	23.843	1523.5	1375.0	-	90.3	0.0	597.1	-884.9	577.5	-907.5	23.7	1.7	1.7	0.0	0.0	597.1	-884.9	577.5	-907.5
18:28:08, Thursday, April 03, 2025	24.640	1512.5	1369.5	-	90.5	0.0	596.6	-884.8	583.0	-918.5	23.7	1.7	1.7	0.0	0.0	596.6	-884.8	583.0	-918.5
18:28:08, Thursday, April 03, 2025	25.422	1512.5	1369.5	-	90.5	0.0	596.0	-884.1	561.0	-907.5	23.5	1.7	1.7	0.0	0.0	596.0	-884.1	561.0	-907.5
18:28:09, Thursday, April 03, 2025	26.218	1512.5	1364.0	-	90.2	0.0	596.7	-884.8	561.0	-913.0	23.5	1.7	1.7	0.0	0.0	596.7	-884.8	561.0	-913.0
18:28:10, Thursday, April 03, 2025	27.015	1518.0	1369.5	-	90.2	0.0	595.5	-885.6	572.0	-913.0	23.6	1.7	1.7	0.0	0.0	595.5	-885.6	572.0	-913.0
18:28:11, Thursday, April 03, 2025	27.812	1518.0	1364.0	-	89.9	0.0	596.3	-885.0	583.0	-907.5	23.6	1.7	1.7	0.0	0.0	596.3	-885.0	583.0	-907.5
18:28:12, Thursday, April 03, 2025	28.578	1518.0	1369.5	-	90.2	0.0	596.2	-885.0	577.5	-913.0	23.6	1.7	1.7	0.0	0.0	596.2	-885.0	577.5	-913.0
18:28:12, Thursday, April 03, 2025	29.375	1523.5	1364.0	-	89.5	0.0	596.3	-885.4	572.0	-907.5	23.6	1.7	1.7	0.0	0.0	596.3	-885.4	572.0	-907.5
18:28:13, Thursday, April 03, 2025	30.172	1523.5	1369.5	-	89.9	0.0	596.7	-885.2	588.5	-918.5	23.6	1.7	1.7	0.0	0.0	596.7	-885.2	588.5	-918.5
