Software Version: 1.08.00
Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 10 pulse(s)
Total Duration: 0:0::30 (DD:HH:MM:SS)
Video Trigger: Not activated
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 
 15:46:31, Thursday, April 03, 2025	1.219	2810.5	2568.5	-	91.4	0.0	1453.1	-392.4	1347.5	-308.0	56.4	1.8	1.8
15:46:33, Thursday, April 03, 2025	2.594	2821.5	2557.5	-	90.6	0.0	1452.9	-393.2	1727.0	-610.5	56.5	1.8	1.8
15:46:34, Thursday, April 03, 2025	3.875	2794.0	2535.5	-	90.7	0.0	1453.0	-392.8	1380.5	-374.0	56.5	1.8	1.8
15:46:35, Thursday, April 03, 2025	5.141	2788.5	2519.0	-	90.3	0.0	1452.9	-392.1	1518.0	-374.0	56.1	1.8	1.8
15:46:37, Thursday, April 03, 2025	6.500	2810.5	2508.0	-	89.2	0.0	1452.9	-392.5	1336.5	-319.0	56.4	1.8	1.8
15:46:38, Thursday, April 03, 2025	7.813	2794.0	2519.0	-	90.2	0.0	1453.0	-393.5	1353.0	-385.0	56.7	1.8	1.7
15:46:39, Thursday, April 03, 2025	9.125	2810.5	2519.0	-	89.6	0.0	1453.0	-391.9	1408.0	-429.0	56.5	1.8	1.7
15:46:41, Thursday, April 03, 2025	10.391	2788.5	2513.5	-	90.1	0.0	1452.8	-392.5	1364.0	-385.0	56.6	1.8	1.8
15:46:42, Thursday, April 03, 2025	11.688	2821.5	2513.5	-	89.1	0.0	1452.7	-392.1	1452.0	-478.5	56.5	1.8	1.8
15:46:43, Thursday, April 03, 2025	13.000	2805.0	2530.0	-	90.2	0.0	1452.8	-392.2	1386.0	-297.0	56.4	1.8	1.8
15:46:44, Thursday, April 03, 2025	14.266	2810.5	2557.5	-	91.0	0.0	1453.2	-392.6	1435.5	-561.0	56.6	1.8	1.8
15:46:46, Thursday, April 03, 2025	15.532	2766.5	2563.0	-	92.6	0.0	1452.7	-392.4	1369.5	-462.0	56.2	1.8	1.8
15:46:47, Thursday, April 03, 2025	16.813	2794.0	2513.5	-	90.0	0.0	1452.6	-392.4	1353.0	-390.5	56.4	1.8	1.8
15:46:48, Thursday, April 03, 2025	18.110	2816.0	2524.5	-	89.6	0.0	1452.8	-392.4	1347.5	-390.5	56.7	1.8	1.8
15:46:50, Thursday, April 03, 2025	19.407	2788.5	2508.0	-	89.9	0.0	1452.8	-392.7	1369.5	-308.0	56.6	1.8	1.7
15:46:51, Thursday, April 03, 2025	20.672	2777.5	2530.0	-	91.1	0.0	1452.7	-392.6	1380.5	-517.0	56.4	1.8	1.8
15:46:52, Thursday, April 03, 2025	21.954	2794.0	2519.0	-	90.2	0.0	1453.0	-392.6	1402.5	-368.5	56.6	1.8	1.7
15:46:53, Thursday, April 03, 2025	23.329	2788.5	2513.5	-	90.1	0.0	1452.6	-392.2	1375.0	-374.0	56.6	1.8	1.8
15:46:55, Thursday, April 03, 2025	24.688	2761.0	2508.0	-	90.8	0.0	1452.8	-392.6	1364.0	-456.5	56.3	1.8	1.8
15:46:56, Thursday, April 03, 2025	26.032	2799.5	2502.5	-	89.4	0.0	1452.8	-392.1	1325.5	-396.0	56.6	1.8	1.7
15:46:57, Thursday, April 03, 2025	27.313	2777.5	2508.0	-	90.3	0.0	1452.8	-392.6	1309.0	-544.5	56.6	1.8	1.8
15:46:59, Thursday, April 03, 2025	28.594	2799.5	2541.0	-	90.8	0.0	1452.4	-392.6	1347.5	-390.5	56.9	1.8	1.8
15:47:00, Thursday, April 03, 2025	30.000	2799.5	2524.5	-	90.2	0.0	1452.9	-392.4	1457.5	-407.0	56.3	1.8	1.8
