Software Version: 1.08.00
Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 10 pulse(s)
Total Duration: 0:0:0:30 (DD:HH:MM:SS)
Video Trigger: Not activated
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 X Baseline Position	 Y Baseline Position	 Delta Centroid X	 Delta Centroid Y	 Delta Peak X	 Delta Peak Y	  
 16:16:40, Thursday, April 03, 2025	1.265	3921.5	3608.0	-	92.0	0.0	323.6	25.0	302.5	38.5	84.2	1.8	1.8	5632.0	5632.0	-5308.4	-5607.0	-5329.5	-5593.5
16:16:42, Thursday, April 03, 2025	2.593	3927.0	3602.5	-	91.7	0.0	324.5	25.6	165.0	44.0	84.5	1.8	1.7	5632.0	5632.0	-5307.5	-5606.4	-5467.0	-5588.0
16:16:43, Thursday, April 03, 2025	3.922	3927.0	3635.5	-	92.6	0.0	324.6	25.0	231.0	66.0	84.3	1.8	1.8	5632.0	5632.0	-5307.4	-5607.0	-5401.0	-5566.0
16:16:44, Thursday, April 03, 2025	5.187	3954.5	3635.5	-	91.9	0.0	324.6	24.7	231.0	71.5	84.7	1.8	1.8	5632.0	5632.0	-5307.4	-5607.3	-5401.0	-5560.5
16:16:46, Thursday, April 03, 2025	6.547	3949.0	3641.0	-	92.2	0.0	325.3	24.5	148.5	-49.5	84.5	1.8	1.8	5632.0	5632.0	-5306.7	-5607.5	-5483.5	-5681.5
16:16:47, Thursday, April 03, 2025	7.843	3932.5	3575.0	-	90.9	0.0	324.9	24.2	275.0	27.5	84.2	1.8	1.8	5632.0	5632.0	-5307.1	-5607.8	-5357.0	-5604.5
16:16:48, Thursday, April 03, 2025	9.140	3960.0	3635.5	-	91.8	0.0	324.9	25.0	165.0	44.0	84.4	1.8	1.8	5632.0	5632.0	-5307.1	-5607.0	-5467.0	-5588.0
16:16:50, Thursday, April 03, 2025	10.437	3938.0	3608.0	-	91.6	0.0	325.1	24.3	269.5	16.5	84.6	1.8	1.8	5632.0	5632.0	-5306.9	-5607.7	-5362.5	-5615.5
16:16:51, Thursday, April 03, 2025	11.781	3938.0	3635.5	-	92.3	0.0	325.4	25.3	291.5	-33.0	84.2	1.8	1.8	5632.0	5632.0	-5306.6	-5606.7	-5340.5	-5665.0
16:16:52, Thursday, April 03, 2025	13.015	3932.5	3635.5	-	92.4	0.0	324.9	25.7	165.0	49.5	84.4	1.8	1.8	5632.0	5632.0	-5307.1	-5606.3	-5467.0	-5582.5
16:16:53, Thursday, April 03, 2025	14.328	4042.5	3591.5	-	88.8	0.0	325.2	24.8	291.5	27.5	84.2	1.8	1.8	5632.0	5632.0	-5306.8	-5607.2	-5340.5	-5604.5
16:16:55, Thursday, April 03, 2025	15.625	3927.0	3630.0	-	92.4	0.0	325.1	25.6	291.5	-38.5	84.5	1.8	1.8	5632.0	5632.0	-5306.9	-5606.4	-5340.5	-5670.5
16:16:56, Thursday, April 03, 2025	16.937	3938.0	3608.0	-	91.6	0.0	324.9	24.9	286.0	22.0	84.4	1.8	1.8	5632.0	5632.0	-5307.1	-5607.1	-5346.0	-5610.0
16:16:57, Thursday, April 03, 2025	18.187	3921.5	3608.0	-	92.0	0.0	325.5	25.4	379.5	-5.5	84.6	1.8	1.8	5632.0	5632.0	-5306.5	-5606.6	-5252.5	-5637.5
16:16:59, Thursday, April 03, 2025	19.437	3943.5	3591.5	-	91.1	0.0	325.3	25.3	159.5	44.0	84.5	1.8	1.8	5632.0	5632.0	-5306.7	-5606.7	-5472.5	-5588.0
16:17:00, Thursday, April 03, 2025	20.750	3932.5	3635.5	-	92.4	0.0	324.7	25.5	82.5	0.0	84.2	1.8	1.8	5632.0	5632.0	-5307.3	-5606.5	-5549.5	-5632.0
16:17:01, Thursday, April 03, 2025	22.047	3949.0	3641.0	-	92.2	0.0	325.0	25.1	198.0	-82.5	84.4	1.8	1.8	5632.0	5632.0	-5307.0	-5606.9	-5434.0	-5714.5
16:17:03, Thursday, April 03, 2025	23.375	3932.5	3635.5	-	92.4	0.0	324.8	25.3	181.5	55.0	83.9	1.8	1.8	5632.0	5632.0	-5307.2	-5606.7	-5450.5	-5577.0
16:17:04, Thursday, April 03, 2025	24.687	3932.5	3635.5	-	92.4	0.0	324.4	25.8	159.5	44.0	84.5	1.8	1.8	5632.0	5632.0	-5307.6	-5606.2	-5472.5	-5588.0
16:17:05, Thursday, April 03, 2025	25.953	3960.0	3630.0	-	91.7	0.0	324.0	24.5	137.5	-49.5	84.6	1.8	1.7	5632.0	5632.0	-5308.0	-5607.5	-5494.5	-5681.5
16:17:06, Thursday, April 03, 2025	27.281	3932.5	3597.0	-	91.5	0.0	324.8	25.2	368.5	-5.5	84.2	1.8	1.8	5632.0	5632.0	-5307.2	-5606.8	-5263.5	-5637.5
16:17:08, Thursday, April 03, 2025	28.578	3932.5	3624.5	-	92.2	0.0	324.7	24.4	275.0	82.5	84.4	1.8	1.8	5632.0	5632.0	-5307.3	-5607.6	-5357.0	-5549.5
16:17:09, Thursday, April 03, 2025	29.843	3927.0	3619.0	-	92.2	0.0	324.5	24.1	291.5	-38.5	84.4	1.8	1.8	5632.0	5632.0	-5307.5	-5607.9	-5340.5	-5670.5
