Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 1 pulse(s)
Total Duration: 0:0:0:30 (DD:HH:MM:SS)
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 X Baseline Position	 Y Baseline Position	 Delta Centroid X	 Delta Centroid Y	 Delta Peak X	 Delta Peak Y	  
 15:00:10, Wednesday, April 16, 2025	0.375	698.5	638.0	-	91.3	0.0	-221.4	-963.9	-220.0	-968.0	86.8	1.7	1.7	0.0	0.0	-221.4	-963.9	-220.0	-968.0
15:00:10, Wednesday, April 16, 2025	1.031	693.0	638.0	-	92.1	0.0	-221.4	-963.9	-225.5	-968.0	86.7	1.7	1.7	0.0	0.0	-221.4	-963.9	-225.5	-968.0
15:00:11, Wednesday, April 16, 2025	1.687	693.0	638.0	-	92.1	0.0	-221.4	-963.9	-214.5	-951.5	86.7	1.7	1.7	0.0	0.0	-221.4	-963.9	-214.5	-951.5
15:00:12, Wednesday, April 16, 2025	2.375	693.0	638.0	-	92.1	0.0	-221.2	-964.0	-231.0	-962.5	86.6	1.7	1.7	0.0	0.0	-221.2	-964.0	-231.0	-962.5
15:00:12, Wednesday, April 16, 2025	3.031	693.0	638.0	-	92.1	0.0	-221.3	-963.9	-231.0	-962.5	86.6	1.7	1.7	0.0	0.0	-221.3	-963.9	-231.0	-962.5
15:00:13, Wednesday, April 16, 2025	3.718	693.0	638.0	-	92.1	0.0	-221.3	-964.1	-214.5	-962.5	86.7	1.7	1.7	0.0	0.0	-221.3	-964.1	-214.5	-962.5
15:00:14, Wednesday, April 16, 2025	4.375	693.0	638.0	-	92.1	0.0	-221.4	-963.9	-231.0	-962.5	86.4	1.7	1.7	0.0	0.0	-221.4	-963.9	-231.0	-962.5
15:00:14, Wednesday, April 16, 2025	5.015	693.0	638.0	-	92.1	0.0	-221.3	-963.9	-214.5	-968.0	86.5	1.7	1.7	0.0	0.0	-221.3	-963.9	-214.5	-968.0
15:00:15, Wednesday, April 16, 2025	5.656	698.5	638.0	-	91.3	0.0	-221.1	-963.4	-214.5	-951.5	86.7	1.7	1.7	0.0	0.0	-221.1	-963.4	-214.5	-951.5
15:00:16, Wednesday, April 16, 2025	6.250	693.0	638.0	-	92.1	0.0	-221.4	-964.0	-225.5	-951.5	86.5	1.7	1.7	0.0	0.0	-221.4	-964.0	-225.5	-951.5
15:00:16, Wednesday, April 16, 2025	6.875	693.0	638.0	-	92.1	0.0	-221.2	-963.9	-225.5	-951.5	86.4	1.7	1.7	0.0	0.0	-221.2	-963.9	-225.5	-951.5
15:00:17, Wednesday, April 16, 2025	7.484	693.0	638.0	-	92.1	0.0	-221.4	-963.9	-220.0	-968.0	86.2	1.7	1.7	0.0	0.0	-221.4	-963.9	-220.0	-968.0
15:00:17, Wednesday, April 16, 2025	8.078	693.0	638.0	-	92.1	0.0	-221.4	-963.9	-220.0	-951.5	86.5	1.7	1.7	0.0	0.0	-221.4	-963.9	-220.0	-951.5
15:00:18, Wednesday, April 16, 2025	8.687	693.0	638.0	-	92.1	0.0	-221.6	-964.0	-220.0	-968.0	86.7	1.7	1.7	0.0	0.0	-221.6	-964.0	-220.0	-968.0
15:00:19, Wednesday, April 16, 2025	9.281	693.0	638.0	-	92.1	0.0	-221.4	-964.0	-214.5	-968.0	86.2	1.7	1.7	0.0	0.0	-221.4	-964.0	-214.5	-968.0
15:00:19, Wednesday, April 16, 2025	9.875	693.0	638.0	-	92.1	0.0	-221.4	-963.9	-214.5	-968.0	86.3	1.7	1.7	0.0	0.0	-221.4	-963.9	-214.5	-968.0
15:00:20, Wednesday, April 16, 2025	10.468	693.0	638.0	-	92.1	0.0	-221.5	-964.0	-214.5	-951.5	86.2	1.7	1.7	0.0	0.0	-221.5	-964.0	-214.5	-951.5
15:00:20, Wednesday, April 16, 2025	11.062	698.5	638.0	-	91.3	0.0	-221.6	-963.8	-214.5	-968.0	86.2	1.7	1.7	0.0	0.0	-221.6	-963.8	-214.5	-968.0
15:00:21, Wednesday, April 16, 2025	11.640	693.0	638.0	-	92.1	0.0	-221.4	-963.9	-214.5	-951.5	86.3	1.7	1.7	0.0	0.0	-221.4	-963.9	-214.5	-951.5
15:00:22, Wednesday, April 16, 2025	12.234	693.0	638.0	-	92.1	0.0	-221.6	-963.8	-214.5	-968.0	86.2	1.7	1.7	0.0	0.0	-221.6	-963.8	-214.5	-968.0
15:00:22, Wednesday, April 16, 2025	12.812	693.0	638.0	-	92.1	0.0	-221.4	-963.8	-225.5	-968.0	86.5	1.7	1.7	0.0	0.0	-221.4	-963.8	-225.5	-968.0
15:00:23, Wednesday, April 16, 2025	13.406	693.0	638.0	-	92.1	0.0	-221.5	-963.7	-225.5	-968.0	86.1	1.7	1.7	0.0	0.0	-221.5	-963.7	-225.5	-968.0
15:00:23, Wednesday, April 16, 2025	14.000	693.0	638.0	-	92.1	0.0	-221.5	-963.9	-225.5	-951.5	86.0	1.7	1.7	0.0	0.0	-221.5	-963.9	-225.5	-951.5
15:00:24, Wednesday, April 16, 2025	14.609	693.0	638.0	-	92.1	0.0	-221.5	-964.0	-225.5	-951.5	86.2	1.7	1.7	0.0	0.0	-221.5	-964.0	-225.5	-951.5
15:00:24, Wednesday, April 16, 2025	15.203	693.0	638.0	-	92.1	0.0	-221.5	-964.0	-214.5	-968.0	86.2	1.7	1.7	0.0	0.0	-221.5	-964.0	-214.5	-968.0
15:00:25, Wednesday, April 16, 2025	15.796	693.0	638.0	-	92.1	0.0	-221.6	-963.7	-231.0	-962.5	86.3	1.7	1.7	0.0	0.0	-221.6	-963.7	-231.0	-962.5
15:00:26, Wednesday, April 16, 2025	16.375	693.0	638.0	-	92.1	0.0	-221.5	-963.9	-225.5	-968.0	86.4	1.7	1.7	0.0	0.0	-221.5	-963.9	-225.5	-968.0
15:00:26, Wednesday, April 16, 2025	16.968	693.0	638.0	-	92.1	0.0	-221.5	-963.9	-214.5	-951.5	86.2	1.7	1.7	0.0	0.0	-221.5	-963.9	-214.5	-951.5
