Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 1 pulse(s)
Total Duration: 0:0:0:30 (DD:HH:MM:SS)
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 X Baseline Position	 Y Baseline Position	 Delta Centroid X	 Delta Centroid Y	 Delta Peak X	 Delta Peak Y	  
 15:38:35, Wednesday, April 16, 2025	0.141	517.0	478.5	-	92.6	0.0	151.7	270.4	154.0	275.0	61.3	1.6	1.7	0.0	0.0	151.7	270.4	154.0	275.0
15:38:35, Wednesday, April 16, 2025	0.422	517.0	484.0	-	93.6	0.0	151.5	270.3	121.0	275.0	61.2	1.7	1.7	0.0	0.0	151.5	270.3	121.0	275.0
15:38:36, Wednesday, April 16, 2025	0.719	506.0	484.0	-	95.7	0.0	151.6	270.2	159.5	280.5	61.6	1.6	1.7	0.0	0.0	151.6	270.2	159.5	280.5
15:38:36, Wednesday, April 16, 2025	1.032	517.0	478.5	-	92.6	0.0	151.8	270.2	159.5	302.5	61.4	1.6	1.7	0.0	0.0	151.8	270.2	159.5	302.5
15:38:36, Wednesday, April 16, 2025	1.282	506.0	473.0	-	93.5	0.0	151.6	270.1	137.5	286.0	61.6	1.6	1.7	0.0	0.0	151.6	270.1	137.5	286.0
15:38:37, Wednesday, April 16, 2025	1.563	517.0	484.0	-	93.6	0.0	151.8	270.2	170.5	275.0	61.2	1.7	1.7	0.0	0.0	151.8	270.2	170.5	275.0
15:38:37, Wednesday, April 16, 2025	1.860	511.5	484.0	-	94.6	0.0	151.6	270.2	154.0	280.5	61.6	1.7	1.7	0.0	0.0	151.6	270.2	154.0	280.5
15:38:37, Wednesday, April 16, 2025	2.110	511.5	484.0	-	94.6	0.0	151.8	270.2	137.5	297.0	61.3	1.6	1.7	0.0	0.0	151.8	270.2	137.5	297.0
15:38:37, Wednesday, April 16, 2025	2.391	506.0	478.5	-	94.6	0.0	151.6	270.2	148.5	286.0	61.6	1.6	1.7	0.0	0.0	151.6	270.2	148.5	286.0
15:38:38, Wednesday, April 16, 2025	2.688	511.5	484.0	-	94.6	0.0	151.5	270.0	137.5	286.0	61.5	1.6	1.7	0.0	0.0	151.5	270.0	137.5	286.0
15:38:38, Wednesday, April 16, 2025	2.953	506.0	478.5	-	94.6	0.0	151.7	270.2	137.5	275.0	61.5	1.6	1.7	0.0	0.0	151.7	270.2	137.5	275.0
15:38:38, Wednesday, April 16, 2025	3.328	511.5	484.0	-	94.6	0.0	151.7	270.2	165.0	280.5	61.3	1.7	1.7	0.0	0.0	151.7	270.2	165.0	280.5
15:38:39, Wednesday, April 16, 2025	3.516	511.5	484.0	-	94.6	0.0	151.8	270.1	126.5	286.0	61.2	1.7	1.7	0.0	0.0	151.8	270.1	126.5	286.0
15:38:39, Wednesday, April 16, 2025	3.766	511.5	478.5	-	93.5	0.0	151.8	270.1	154.0	286.0	61.5	1.6	1.7	0.0	0.0	151.8	270.1	154.0	286.0
15:38:39, Wednesday, April 16, 2025	4.047	511.5	489.5	-	95.7	0.0	151.9	270.1	148.5	291.5	61.3	1.6	1.7	0.0	0.0	151.9	270.1	148.5	291.5
15:38:39, Wednesday, April 16, 2025	4.328	511.5	489.5	-	95.7	0.0	151.7	270.2	148.5	269.5	61.3	1.7	1.7	0.0	0.0	151.7	270.2	148.5	269.5
15:38:40, Wednesday, April 16, 2025	4.610	517.0	484.0	-	93.6	0.0	151.7	270.1	132.0	291.5	61.5	1.6	1.7	0.0	0.0	151.7	270.1	132.0	291.5
15:38:40, Wednesday, April 16, 2025	4.891	511.5	489.5	-	95.7	0.0	151.9	269.9	148.5	275.0	61.0	1.7	1.7	0.0	0.0	151.9	269.9	148.5	275.0
15:38:40, Wednesday, April 16, 2025	5.219	522.5	484.0	-	92.6	0.0	151.8	270.1	132.0	269.5	61.4	1.7	1.7	0.0	0.0	151.8	270.1	132.0	269.5
15:38:40, Wednesday, April 16, 2025	5.453	506.0	484.0	-	95.7	0.0	151.8	269.7	148.5	269.5	61.3	1.6	1.7	0.0	0.0	151.8	269.7	148.5	269.5
15:38:41, Wednesday, April 16, 2025	5.735	517.0	484.0	-	93.6	0.0	151.9	270.1	143.0	291.5	61.5	1.7	1.7	0.0	0.0	151.9	270.1	143.0	291.5
15:38:41, Wednesday, April 16, 2025	6.032	522.5	489.5	-	93.7	0.0	151.9	270.0	143.0	297.0	61.2	1.7	1.7	0.0	0.0	151.9	270.0	143.0	297.0
