Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 1 pulse(s)
Total Duration: 0:0:0:30 (DD:HH:MM:SS)
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 X Baseline Position	 Y Baseline Position	 Delta Centroid X	 Delta Centroid Y	 Delta Peak X	 Delta Peak Y	  
 14:52:12, Wednesday, April 23, 2025	0.063	2222.0	2035.0	-	91.6	0.0	1127.5	-680.7	1127.5	-616.0	84.4	1.8	1.8	174.2	687.7	953.3	-1368.4	953.3	-1303.7
14:52:13, Wednesday, April 23, 2025	0.266	2277.0	2013.0	-	88.4	0.0	1127.3	-680.2	1127.5	-616.0	84.1	1.8	1.8	174.2	687.7	953.2	-1367.9	953.3	-1303.7
14:52:13, Wednesday, April 23, 2025	0.454	2293.5	2018.5	-	88.0	0.0	1127.3	-680.0	1116.5	-627.0	84.2	1.8	1.8	174.2	687.7	953.1	-1367.8	942.3	-1314.7
14:52:13, Wednesday, April 23, 2025	0.672	2277.0	2040.5	-	89.6	0.0	1127.2	-679.8	1138.5	-671.0	84.3	1.8	1.8	174.2	687.7	953.1	-1367.6	964.3	-1358.7
14:52:13, Wednesday, April 23, 2025	0.844	2293.5	2040.5	-	89.0	0.0	1127.0	-680.3	1133.0	-676.5	84.2	1.8	1.8	174.2	687.7	952.8	-1368.0	958.8	-1364.2
14:52:13, Wednesday, April 23, 2025	1.063	2227.5	2035.0	-	91.4	0.0	1127.0	-680.0	1160.5	-654.5	84.7	1.8	1.8	174.2	687.7	952.9	-1367.7	986.3	-1342.2
14:52:14, Wednesday, April 23, 2025	1.235	2266.0	2024.0	-	89.3	0.0	1127.2	-680.2	1138.5	-671.0	84.5	1.8	1.8	174.2	687.7	953.0	-1367.9	964.3	-1358.7
14:52:14, Wednesday, April 23, 2025	1.454	2222.0	2040.5	-	91.8	0.0	1127.2	-680.8	1067.0	-588.5	84.1	1.8	1.8	174.2	687.7	953.0	-1368.5	892.8	-1276.2
14:52:14, Wednesday, April 23, 2025	1.625	2227.5	2046.0	-	91.9	0.0	1127.3	-680.3	1045.0	-599.5	84.1	1.8	1.8	174.2	687.7	953.1	-1368.1	870.8	-1287.2
14:52:14, Wednesday, April 23, 2025	1.844	2282.5	2035.0	-	89.2	0.0	1127.3	-680.4	1072.5	-594.0	84.0	1.8	1.8	174.2	687.7	953.2	-1368.1	898.3	-1281.7
