Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 1 pulse(s)
Total Duration: 0:0:0:30 (DD:HH:MM:SS)
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 X Baseline Position	 Y Baseline Position	 Delta Centroid X	 Delta Centroid Y	 Delta Peak X	 Delta Peak Y	  
 18:01:39, Wednesday, April 23, 2025	0.047	1259.5	1166.0	-	92.6	0.0	1474.5	322.9	1518.0	269.5	84.2	1.7	1.8	174.2	687.7	1300.3	-364.9	1343.8	-418.2
18:01:40, Wednesday, April 23, 2025	0.203	1259.5	1171.5	-	93.0	0.0	1474.4	322.3	1490.5	335.5	84.2	1.7	1.8	174.2	687.7	1300.3	-365.4	1316.3	-352.2
18:01:40, Wednesday, April 23, 2025	0.375	1254.0	1171.5	-	93.4	0.0	1474.7	322.6	1512.5	275.0	84.4	1.7	1.7	174.2	687.7	1300.5	-365.2	1338.3	-412.7
18:01:40, Wednesday, April 23, 2025	0.532	1265.0	1171.5	-	92.6	0.0	1474.7	322.9	1468.5	330.0	83.7	1.8	1.7	174.2	687.7	1300.5	-364.9	1294.3	-357.7
18:01:40, Wednesday, April 23, 2025	0.719	1265.0	1171.5	-	92.6	0.0	1474.7	322.5	1457.5	341.0	84.5	1.8	1.8	174.2	687.7	1300.6	-365.2	1283.3	-346.7
18:01:40, Wednesday, April 23, 2025	0.907	1254.0	1166.0	-	93.0	0.0	1474.8	322.7	1490.5	341.0	84.3	1.7	1.8	174.2	687.7	1300.6	-365.1	1316.3	-346.7
18:01:40, Wednesday, April 23, 2025	1.094	1265.0	1171.5	-	92.6	0.0	1474.8	323.0	1512.5	275.0	84.0	1.7	1.8	174.2	687.7	1300.6	-364.7	1338.3	-412.7
18:01:41, Wednesday, April 23, 2025	1.266	1265.0	1171.5	-	92.6	0.0	1474.6	322.7	1529.0	280.5	83.8	1.7	1.7	174.2	687.7	1300.5	-365.1	1354.8	-407.2
18:01:41, Wednesday, April 23, 2025	1.438	1254.0	1171.5	-	93.4	0.0	1474.5	322.7	1512.5	269.5	84.0	1.7	1.8	174.2	687.7	1300.3	-365.0	1338.3	-418.2
18:01:41, Wednesday, April 23, 2025	1.625	1270.5	1166.0	-	91.8	0.0	1474.6	322.5	1463.0	335.5	83.8	1.8	1.8	174.2	687.7	1300.5	-365.2	1288.8	-352.2
18:01:41, Wednesday, April 23, 2025	1.797	1259.5	1171.5	-	93.0	0.0	1474.5	322.8	1512.5	280.5	83.8	1.7	1.8	174.2	687.7	1300.3	-364.9	1338.3	-407.2
18:01:41, Wednesday, April 23, 2025	1.969	1259.5	1177.0	-	93.4	0.0	1474.5	322.8	1452.0	330.0	83.6	1.7	1.8	174.2	687.7	1300.3	-364.9	1277.8	-357.7
18:01:42, Wednesday, April 23, 2025	2.157	1259.5	1171.5	-	93.0	0.0	1474.6	322.8	1490.5	335.5	84.0	1.7	1.8	174.2	687.7	1300.4	-364.9	1316.3	-352.2
18:01:42, Wednesday, April 23, 2025	2.297	1270.5	1182.5	-	93.1	0.0	1474.5	322.7	1485.0	269.5	83.7	1.7	1.8	174.2	687.7	1300.4	-365.0	1310.8	-418.2
18:01:42, Wednesday, April 23, 2025	2.469	1259.5	1166.0	-	92.6	0.0	1474.5	322.8	1523.5	275.0	84.0	1.7	1.7	174.2	687.7	1300.4	-364.9	1349.3	-412.7
18:01:42, Wednesday, April 23, 2025	2.641	1259.5	1171.5	-	93.0	0.0	1474.5	322.3	1490.5	341.0	84.2	1.8	1.8	174.2	687.7	1300.4	-365.5	1316.3	-346.7
18:01:42, Wednesday, April 23, 2025	2.813	1259.5	1171.5	-	93.0	0.0	1474.8	322.8	1463.0	253.0	83.9	1.8	1.8	174.2	687.7	1300.6	-365.0	1288.8	-434.7
18:01:42, Wednesday, April 23, 2025	2.969	1259.5	1171.5	-	93.0	0.0	1474.6	322.5	1452.0	330.0	83.9	1.8	1.8	174.2	687.7	1300.4	-365.2	1277.8	-357.7
18:01:42, Wednesday, April 23, 2025	3.110	1259.5	1171.5	-	93.0	0.0	1474.6	322.6	1490.5	341.0	84.2	1.7	1.8	174.2	687.7	1300.4	-365.1	1316.3	-346.7
18:01:43, Wednesday, April 23, 2025	3.297	1254.0	1171.5	-	93.4	0.0	1474.5	322.6	1452.0	341.0	83.9	1.7	1.8	174.2	687.7	1300.4	-365.1	1277.8	-346.7
18:01:43, Wednesday, April 23, 2025	3.469	1248.5	1171.5	-	93.8	0.0	1474.6	322.3	1496.0	335.5	83.9	1.7	1.8	174.2	687.7	1300.5	-365.4	1321.8	-352.2
18:01:43, Wednesday, April 23, 2025	3.641	1259.5	1177.0	-	93.4	0.0	1474.6	322.6	1534.5	280.5	84.0	1.8	1.8	174.2	687.7	1300.4	-365.1	1360.3	-407.2
18:01:43, Wednesday, April 23, 2025	3.813	1254.0	1171.5	-	93.4	0.0	1474.6	322.5	1479.5	341.0	83.9	1.7	1.8	174.2	687.7	1300.5	-365.2	1305.3	-346.7
18:01:43, Wednesday, April 23, 2025	3.985	1270.5	1177.0	-	92.6	0.0	1474.7	322.6	1496.0	275.0	84.0	1.8	1.8	174.2	687.7	1300.5	-365.1	1321.8	-412.7
18:01:43, Wednesday, April 23, 2025	4.141	1254.0	1177.0	-	93.9	0.0	1474.5	322.5	1463.0	330.0	83.7	1.7	1.8	174.2	687.7	1300.3	-365.2	1288.8	-357.7
18:01:44, Wednesday, April 23, 2025	4.297	1259.5	1171.5	-	93.0	0.0	1474.7	322.6	1534.5	280.5	83.9	1.8	1.7	174.2	687.7	1300.5	-365.2	1360.3	-407.2
18:01:44, Wednesday, April 23, 2025	4.469	1243.0	1171.5	-	94.2	0.0	1474.2	322.4	1501.5	275.0	84.0	1.7	1.7	174.2	687.7	1300.0	-365.3	1327.3	-412.7
18:01:44, Wednesday, April 23, 2025	4.641	1248.5	1171.5	-	93.8	0.0	1474.6	322.5	1468.5	341.0	83.9	1.7	1.8	174.2	687.7	1300.4	-365.2	1294.3	-346.7
18:01:44, Wednesday, April 23, 2025	4.813	1254.0	1171.5	-	93.4	0.0	1474.6	322.9	1485.0	335.5	84.0	1.7	1.8	174.2	687.7	1300.4	-364.8	1310.8	-352.2
18:01:44, Wednesday, April 23, 2025	4.969	1248.5	1166.0	-	93.4	0.0	1474.5	322.8	1430.0	319.0	83.9	1.7	1.7	174.2	687.7	1300.3	-365.0	1255.8	-368.7
18:01:45, Wednesday, April 23, 2025	5.141	1248.5	1171.5	-	93.8	0.0	1474.4	322.6	1512.5	269.5	83.7	1.7	1.7	174.2	687.7	1300.3	-365.1	1338.3	-418.2
18:01:45, Wednesday, April 23, 2025	5.313	1248.5	1166.0	-	93.4	0.0	1474.6	322.5	1457.5	324.5	83.6	1.8	1.8	174.2	687.7	1300.4	-365.2	1283.3	-363.2
18:01:45, Wednesday, April 23, 2025	5.485	1248.5	1171.5	-	93.8	0.0	1474.5	322.6	1446.5	335.5	84.0	1.7	1.7	174.2	687.7	1300.4	-365.1	1272.3	-352.2
18:01:45, Wednesday, April 23, 2025	5.641	1254.0	1160.5	-	92.5	0.0	1474.5	322.4	1551.0	286.0	84.4	1.7	1.8	174.2	687.7	1300.3	-365.3	1376.8	-401.7
18:01:45, Wednesday, April 23, 2025	5.797	1243.0	1177.0	-	94.7	0.0	1474.4	322.6	1452.0	330.0	84.4	1.8	1.8	174.2	687.7	1300.3	-365.2	1277.8	-357.7
18:01:45, Wednesday, April 23, 2025	5.969	1254.0	1177.0	-	93.9	0.0	1474.3	322.5	1529.0	280.5	84.3	1.7	1.8	174.2	687.7	1300.1	-365.3	1354.8	-407.2
18:01:45, Wednesday, April 23, 2025	6.125	1254.0	1171.5	-	93.4	0.0	1474.3	322.7	1534.5	280.5	83.8	1.7	1.8	174.2	687.7	1300.1	-365.1	1360.3	-407.2
18:01:46, Wednesday, April 23, 2025	6.282	1254.0	1171.5	-	93.4	0.0	1474.4	323.0	1496.0	269.5	84.1	1.7	1.8	174.2	687.7	1300.2	-364.8	1321.8	-418.2
18:01:46, Wednesday, April 23, 2025	6.438	1259.5	1171.5	-	93.0	0.0	1474.5	322.5	1468.5	330.0	84.0	1.7	1.8	174.2	687.7	1300.3	-365.2	1294.3	-357.7
18:01:46, Wednesday, April 23, 2025	6.594	1254.0	1171.5	-	93.4	0.0	1474.6	322.4	1529.0	280.5	84.1	1.7	1.8	174.2	687.7	1300.4	-365.3	1354.8	-407.2
18:01:46, Wednesday, April 23, 2025	6.782	1265.0	1177.0	-	93.0	0.0	1474.5	322.2	1540.0	286.0	83.6	1.8	1.8	174.2	687.7	1300.3	-365.6	1365.8	-401.7
18:01:46, Wednesday, April 23, 2025	6.922	1265.0	1177.0	-	93.0	0.0	1474.4	322.1	1496.0	335.5	84.0	1.7	1.8	174.2	687.7	1300.2	-365.6	1321.8	-352.2
18:01:46, Wednesday, April 23, 2025	7.094	1248.5	1166.0	-	93.4	0.0	1474.2	322.4	1446.5	335.5	84.1	1.7	1.7	174.2	687.7	1300.1	-365.4	1272.3	-352.2
18:01:47, Wednesday, April 23, 2025	7.266	1254.0	1166.0	-	93.0	0.0	1474.5	322.1	1474.0	341.0	84.0	1.7	1.8	174.2	687.7	1300.4	-365.6	1299.8	-346.7
18:01:47, Wednesday, April 23, 2025	7.438	1259.5	1182.5	-	93.9	0.0	1474.5	322.5	1468.5	335.5	83.9	1.7	1.8	174.2	687.7	1300.3	-365.3	1294.3	-352.2
18:01:47, Wednesday, April 23, 2025	7.578	1254.0	1182.5	-	94.3	0.0	1474.5	322.4	1501.5	269.5	84.2	1.7	1.8	174.2	687.7	1300.4	-365.4	1327.3	-418.2
18:01:47, Wednesday, April 23, 2025	7.766	1265.0	1166.0	-	92.2	0.0	1474.5	322.4	1474.0	269.5	84.2	1.8	1.8	174.2	687.7	1300.3	-365.4	1299.8	-418.2
18:01:47, Wednesday, April 23, 2025	7.907	1270.5	1160.5	-	91.3	0.0	1474.7	322.1	1523.5	275.0	84.4	1.7	1.8	174.2	687.7	1300.6	-365.7	1349.3	-412.7
18:01:47, Wednesday, April 23, 2025	8.110	1254.0	1182.5	-	94.3	0.0	1474.4	322.5	1463.0	253.0	83.5	1.7	1.8	174.2	687.7	1300.2	-365.3	1288.8	-434.7
18:01:48, Wednesday, April 23, 2025	8.250	1259.5	1166.0	-	92.6	0.0	1474.4	322.3	1468.5	341.0	83.9	1.7	1.7	174.2	687.7	1300.2	-365.4	1294.3	-346.7
18:01:48, Wednesday, April 23, 2025	8.438	1254.0	1182.5	-	94.3	0.0	1474.5	322.6	1507.0	275.0	84.1	1.8	1.8	174.2	687.7	1300.3	-365.1	1332.8	-412.7
18:01:48, Wednesday, April 23, 2025	8.594	1248.5	1171.5	-	93.8	0.0	1474.5	322.4	1463.0	253.0	84.2	1.7	1.8	174.2	687.7	1300.3	-365.4	1288.8	-434.7
18:01:48, Wednesday, April 23, 2025	8.766	1254.0	1182.5	-	94.3	0.0	1474.3	322.3	1501.5	275.0	83.9	1.7	1.8	174.2	687.7	1300.2	-365.4	1327.3	-412.7
18:01:48, Wednesday, April 23, 2025	8.907	1259.5	1160.5	-	92.1	0.0	1474.3	322.4	1457.5	335.5	83.8	1.7	1.8	174.2	687.7	1300.2	-365.3	1283.3	-352.2
18:01:48, Wednesday, April 23, 2025	9.094	1254.0	1160.5	-	92.5	0.0	1474.6	322.4	1457.5	341.0	83.8	1.8	1.8	174.2	687.7	1300.4	-365.3	1283.3	-346.7
18:01:49, Wednesday, April 23, 2025	9.235	1259.5	1166.0	-	92.6	0.0	1474.6	322.6	1452.0	335.5	83.8	1.7	1.8	174.2	687.7	1300.5	-365.2	1277.8	-352.2
18:01:49, Wednesday, April 23, 2025	9.407	1270.5	1177.0	-	92.6	0.0	1474.4	322.5	1512.5	275.0	84.0	1.7	1.8	174.2	687.7	1300.2	-365.2	1338.3	-412.7
18:01:49, Wednesday, April 23, 2025	9.578	1254.0	1177.0	-	93.9	0.0	1474.7	322.4	1452.0	324.5	84.7	1.7	1.8	174.2	687.7	1300.5	-365.3	1277.8	-363.2
18:01:49, Wednesday, April 23, 2025	9.750	1259.5	1171.5	-	93.0	0.0	1474.6	322.6	1457.5	330.0	83.7	1.7	1.7	174.2	687.7	1300.4	-365.1	1283.3	-357.7
18:01:49, Wednesday, April 23, 2025	9.907	1254.0	1177.0	-	93.9	0.0	1474.4	322.5	1512.5	280.5	84.3	1.7	1.8	174.2	687.7	1300.2	-365.3	1338.3	-407.2
18:01:49, Wednesday, April 23, 2025	10.078	1259.5	1171.5	-	93.0	0.0	1474.5	322.5	1523.5	275.0	84.1	1.7	1.8	174.2	687.7	1300.3	-365.2	1349.3	-412.7
18:01:50, Wednesday, April 23, 2025	10.235	1270.5	1171.5	-	92.2	0.0	1474.4	322.4	1512.5	275.0	83.9	1.8	1.8	174.2	687.7	1300.2	-365.3	1338.3	-412.7
18:01:50, Wednesday, April 23, 2025	10.375	1265.0	1171.5	-	92.6	0.0	1474.5	322.4	1490.5	341.0	84.0	1.7	1.8	174.2	687.7	1300.3	-365.3	1316.3	-346.7
18:01:50, Wednesday, April 23, 2025	10.547	1259.5	1177.0	-	93.4	0.0	1474.8	322.2	1463.0	253.0	84.1	1.8	1.8	174.2	687.7	1300.6	-365.5	1288.8	-434.7
18:01:50, Wednesday, April 23, 2025	10.719	1265.0	1171.5	-	92.6	0.0	1474.4	322.1	1457.5	341.0	84.1	1.7	1.8	174.2	687.7	1300.2	-365.7	1283.3	-346.7
18:01:50, Wednesday, April 23, 2025	10.875	1248.5	1177.0	-	94.3	0.0	1474.5	322.3	1430.0	313.5	84.0	1.7	1.8	174.2	687.7	1300.4	-365.5	1255.8	-374.2
18:01:50, Wednesday, April 23, 2025	11.032	1248.5	1171.5	-	93.8	0.0	1474.5	322.1	1501.5	335.5	83.8	1.8	1.8	174.2	687.7	1300.4	-365.6	1327.3	-352.2
18:01:51, Wednesday, April 23, 2025	11.188	1265.0	1177.0	-	93.0	0.0	1474.3	322.0	1452.0	335.5	83.7	1.8	1.8	174.2	687.7	1300.2	-365.8	1277.8	-352.2
18:01:51, Wednesday, April 23, 2025	11.328	1259.5	1166.0	-	92.6	0.0	1474.5	322.7	1468.5	330.0	84.1	1.8	1.8	174.2	687.7	1300.3	-365.0	1294.3	-357.7
18:01:51, Wednesday, April 23, 2025	11.516	1270.5	1177.0	-	92.6	0.0	1474.4	322.5	1523.5	280.5	84.2	1.7	1.7	174.2	687.7	1300.2	-365.2	1349.3	-407.2
18:01:51, Wednesday, April 23, 2025	11.672	1259.5	1177.0	-	93.4	0.0	1474.2	322.4	1474.0	253.0	83.5	1.7	1.8	174.2	687.7	1300.0	-365.3	1299.8	-434.7
18:01:51, Wednesday, April 23, 2025	11.844	1265.0	1166.0	-	92.2	0.0	1474.2	322.5	1463.0	253.0	83.4	1.7	1.8	174.2	687.7	1300.1	-365.2	1288.8	-434.7
18:01:51, Wednesday, April 23, 2025	12.016	1265.0	1177.0	-	93.0	0.0	1474.1	322.5	1441.0	330.0	83.9	1.8	1.8	174.2	687.7	1299.9	-365.3	1266.8	-357.7
18:01:52, Wednesday, April 23, 2025	12.188	1259.5	1177.0	-	93.4	0.0	1474.0	322.2	1457.5	341.0	83.8	1.7	1.8	174.2	687.7	1299.9	-365.5	1283.3	-346.7
18:01:52, Wednesday, April 23, 2025	12.375	1265.0	1171.5	-	92.6	0.0	1474.3	322.7	1523.5	275.0	84.2	1.7	1.8	174.2	687.7	1300.1	-365.1	1349.3	-412.7
18:01:52, Wednesday, April 23, 2025	12.563	1265.0	1177.0	-	93.0	0.0	1474.3	322.7	1452.0	330.0	83.7	1.7	1.8	174.2	687.7	1300.1	-365.0	1277.8	-357.7
18:01:52, Wednesday, April 23, 2025	12.719	1265.0	1177.0	-	93.0	0.0	1474.4	322.6	1457.5	324.5	83.6	1.7	1.8	174.2	687.7	1300.2	-365.1	1283.3	-363.2
