Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 1 pulse(s)
Total Duration: 0:0:0:30 (DD:HH:MM:SS)
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 X Baseline Position	 Y Baseline Position	 Delta Centroid X	 Delta Centroid Y	 Delta Peak X	 Delta Peak Y	  
 18:15:02, Wednesday, April 30, 2025	0.046	1232.0	1078.0	-	87.5	0.0	675.2	277.7	665.5	253.0	85.4	1.7	1.7	174.2	687.7	501.1	-410.1	491.3	-434.7
18:15:02, Wednesday, April 30, 2025	0.203	1232.0	1078.0	-	87.5	0.0	675.2	277.5	665.5	242.0	85.3	1.7	1.7	174.2	687.7	501.0	-410.2	491.3	-445.7
18:15:02, Wednesday, April 30, 2025	0.406	1215.5	1078.0	-	88.7	0.0	675.6	277.7	665.5	297.0	86.2	1.7	1.7	174.2	687.7	501.4	-410.1	491.3	-390.7
18:15:02, Wednesday, April 30, 2025	0.593	1232.0	1072.5	-	87.1	0.0	675.5	277.8	665.5	313.5	85.4	1.8	1.7	174.2	687.7	501.3	-409.9	491.3	-374.2
18:15:02, Wednesday, April 30, 2025	0.765	1237.5	1078.0	-	87.1	0.0	675.5	277.9	704.0	286.0	85.7	1.7	1.7	174.2	687.7	501.4	-409.8	529.8	-401.7
18:15:03, Wednesday, April 30, 2025	0.937	1215.5	1072.5	-	88.2	0.0	675.4	277.8	671.0	231.0	85.7	1.7	1.7	174.2	687.7	501.2	-409.9	496.8	-456.7
18:15:03, Wednesday, April 30, 2025	1.140	1232.0	1078.0	-	87.5	0.0	675.4	277.8	665.5	330.0	85.3	1.7	1.7	174.2	687.7	501.2	-409.9	491.3	-357.7
18:15:03, Wednesday, April 30, 2025	1.359	1221.0	1078.0	-	88.3	0.0	675.5	277.7	704.0	258.5	85.8	1.7	1.7	174.2	687.7	501.3	-410.0	529.8	-429.2
18:15:03, Wednesday, April 30, 2025	1.546	1226.5	1078.0	-	87.9	0.0	675.6	277.6	715.0	291.5	85.6	1.7	1.7	174.2	687.7	501.4	-410.2	540.8	-396.2
18:15:03, Wednesday, April 30, 2025	1.750	1232.0	1078.0	-	87.5	0.0	675.8	277.6	665.5	297.0	85.6	1.7	1.7	174.2	687.7	501.6	-410.1	491.3	-390.7
