% Moku:Go Oscilloscope
% Channel A (Input 2), DC coupling, 1 x probe attenuation
% Channel B (Input 1), DC coupling, 1 x probe attenuation
% Time span 480.9 ms, time offset 3.629 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-06-23 T 17:01:13 +0200
% Time (s), Channel A (V), Channel B (V)
-2.7846624000e-01, 6.6316560181e+00, 3.3707866771e-01
-2.7843256000e-01, 6.6316560181e+00, 3.3463606867e-01
-2.7839888000e-01, 6.6316560181e+00, 3.3707866771e-01
-2.7836520000e-01, 6.6194430236e+00, 3.3707866771e-01
-2.7833152000e-01, 6.6194430236e+00, 3.3707866771e-01
-2.7829784000e-01, 6.6194430236e+00, 3.3707866771e-01
-2.7826416000e-01, 6.6194430236e+00, 3.3463606867e-01
-2.7823048000e-01, 6.6072300291e+00, 3.3707866771e-01
-2.7819680000e-01, 6.6072300291e+00, 3.3463606867e-01
-2.7816312000e-01, 6.6072300291e+00, 3.3463606867e-01
-2.7812944000e-01, 6.6072300291e+00, 3.3463606867e-01
-2.7809576000e-01, 6.6072300291e+00, 3.3463606867e-01
-2.7806208000e-01, 6.6072300291e+00, 3.3707866771e-01
-2.7802840000e-01, 6.5950170346e+00, 3.3707866771e-01
-2.7799472000e-01, 6.5950170346e+00, 3.3707866771e-01
-2.7796104000e-01, 6.5828040401e+00, 3.3463606867e-01
-2.7792736000e-01, 6.5950170346e+00, 3.3463606867e-01
-2.7789368000e-01, 6.5828040401e+00, 3.3707866771e-01
-2.7786000000e-01, 6.5950170346e+00, 3.3707866771e-01
-2.7782632000e-01, 6.5828040401e+00, 3.3463606867e-01
-2.7779264000e-01, 6.5828040401e+00, 3.3707866771e-01
-2.7775896000e-01, 6.5828040401e+00, 3.3463606867e-01
-2.7772528000e-01, 6.5705910455e+00, 3.3707866771e-01
-2.7769160000e-01, 6.5705910455e+00, 3.3463606867e-01
-2.7765792000e-01, 6.5705910455e+00, 3.3707866771e-01
-2.7762424000e-01, 6.5705910455e+00, 3.3707866771e-01
-2.7759056000e-01, 6.5583780510e+00, 3.3707866771e-01
-2.7755688000e-01, 6.5461650565e+00, 3.3463606867e-01
-2.7752320000e-01, 6.5705910455e+00, 3.3463606867e-01
-2.7748952000e-01, 6.5705910455e+00, 3.3463606867e-01
-2.7745584000e-01, 6.5461650565e+00, 3.3463606867e-01
-2.7742216000e-01, 6.5583780510e+00, 3.3463606867e-01
-2.7738848000e-01, 6.5461650565e+00, 3.3707866771e-01
-2.7735480000e-01, 6.5339520620e+00, 3.3952126675e-01
-2.7732112000e-01, 6.5461650565e+00, 3.3463606867e-01
-2.7728744000e-01, 6.5461650565e+00, 3.3707866771e-01
-2.7725376000e-01, 6.5339520620e+00, 3.3463606867e-01
-2.7722008000e-01, 6.5339520620e+00, 3.3463606867e-01
-2.7718640000e-01, 6.5095260730e+00, 3.3463606867e-01
-2.7715272000e-01, 6.5217390675e+00, 3.3707866771e-01
-2.7711904000e-01, 6.5339520620e+00, 3.3463606867e-01
-2.7708536000e-01, 6.5095260730e+00, 3.3707866771e-01
-2.7705168000e-01, 6.5095260730e+00, 3.3463606867e-01
-2.7701800000e-01, 6.5217390675e+00, 3.3463606867e-01
-2.7698432000e-01, 6.5095260730e+00, 3.3463606867e-01
-2.7695064000e-01, 6.5095260730e+00, 3.3463606867e-01
-2.7691696000e-01, 6.5095260730e+00, 3.3707866771e-01
-2.7688328000e-01, 6.4973130785e+00, 3.3463606867e-01
-2.7684960000e-01, 6.5095260730e+00, 3.3463606867e-01
-2.7681592000e-01, 6.5095260730e+00, 3.3463606867e-01
-2.7678224000e-01, 6.4973130785e+00, 3.3463606867e-01
-2.7674856000e-01, 6.5095260730e+00, 3.3463606867e-01
-2.7671488000e-01, 6.4851000840e+00, 3.3463606867e-01
-2.7668120000e-01, 6.4851000840e+00, 3.3707866771e-01
-2.7664752000e-01, 6.4973130785e+00, 3.3463606867e-01
-2.7661384000e-01, 6.4851000840e+00, 3.3463606867e-01
-2.7658016000e-01, 6.4728870895e+00, 3.3707866771e-01
-2.7654648000e-01, 6.4606740950e+00, 3.3463606867e-01
-2.7651280000e-01, 6.4728870895e+00, 3.3463606867e-01
-2.7647912000e-01, 6.4728870895e+00, 3.3707866771e-01
-2.7644544000e-01, 6.4606740950e+00, 3.3463606867e-01
-2.7641176000e-01, 6.4728870895e+00, 3.3707866771e-01
-2.7637808000e-01, 6.4606740950e+00, 3.3463606867e-01
-2.7634440000e-01, 6.4606740950e+00, 3.3707866771e-01
-2.7631072000e-01, 6.4606740950e+00, 3.3463606867e-01
-2.7627704000e-01, 6.4606740950e+00, 3.3463606867e-01
-2.7624336000e-01, 6.4484611005e+00, 3.3463606867e-01
-2.7620968000e-01, 6.4484611005e+00, 3.3707866771e-01
-2.7617600000e-01, 6.4484611005e+00, 3.3707866771e-01
-2.7614232000e-01, 6.4484611005e+00, 3.3463606867e-01
-2.7610864000e-01, 6.4362481060e+00, 3.3463606867e-01
-2.7607496000e-01, 6.4362481060e+00, 3.3707866771e-01
-2.7604128000e-01, 6.4362481060e+00, 3.3463606867e-01
-2.7600760000e-01, 6.4362481060e+00, 3.3707866771e-01
-2.7597392000e-01, 6.4362481060e+00, 3.3463606867e-01
-2.7594024000e-01, 6.4362481060e+00, 3.3707866771e-01
-2.7590656000e-01, 6.4240351114e+00, 3.3707866771e-01
-2.7587288000e-01, 6.4118221169e+00, 3.3707866771e-01
-2.7583920000e-01, 6.4118221169e+00, 3.3463606867e-01
-2.7580552000e-01, 6.4240351114e+00, 3.3219346963e-01
-2.7577184000e-01, 6.4118221169e+00, 3.3463606867e-01
-2.7573816000e-01, 6.4118221169e+00, 3.3707866771e-01
-2.7570448000e-01, 6.3996091224e+00, 3.3463606867e-01
-2.7567080000e-01, 6.4118221169e+00, 3.3463606867e-01
-2.7563712000e-01, 6.3996091224e+00, 3.3463606867e-01
-2.7560344000e-01, 6.3873961279e+00, 3.3707866771e-01
-2.7556976000e-01, 6.3996091224e+00, 3.3463606867e-01
