% Moku:Go Oscilloscope
% Channel A (Input 2), DC coupling, 1 x probe attenuation
% Channel B (Input 1), DC coupling, 1 x probe attenuation
% Time span 480.9 ms, time offset 3.629 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-06-23 T 17:01:12 +0200
% Time (s), Channel A (Input 2) (V), Channel B (Input 1) (V)
-2.441126400000e-01, 3.804348e+00, 2.796776e-01
-2.436411200000e-01, 3.761602e+00, 3.016610e-01
-2.431696000000e-01, 3.718857e+00, 3.126527e-01
-2.426980800000e-01, 3.676111e+00, 3.199805e-01
-2.422265600000e-01, 3.639472e+00, 3.236444e-01
-2.417550400000e-01, 3.602833e+00, 3.260870e-01
-2.412835200000e-01, 3.572301e+00, 3.273083e-01
-2.408120000000e-01, 3.529555e+00, 3.285296e-01
-2.403404800000e-01, 3.492916e+00, 3.297509e-01
-2.398689600000e-01, 3.450171e+00, 3.309722e-01
-2.393974400000e-01, 3.419638e+00, 3.321935e-01
-2.389259200000e-01, 3.370786e+00, 3.334148e-01
-2.384544000000e-01, 3.328041e+00, 3.321935e-01
-2.379828800000e-01, 3.291402e+00, 3.321935e-01
-2.375113600000e-01, 3.254763e+00, 3.321935e-01
-2.370398400000e-01, 3.212018e+00, 3.321935e-01
-2.365683200000e-01, 3.169272e+00, 3.321935e-01
-2.360968000000e-01, 3.138740e+00, 3.334148e-01
-2.356252800000e-01, 3.095994e+00, 3.321935e-01
-2.351537600000e-01, 3.065462e+00, 3.334148e-01
-2.346822400000e-01, 3.016610e+00, 3.321935e-01
-2.342107200000e-01, 2.979971e+00, 3.309722e-01
-2.337392000000e-01, 2.949438e+00, 3.297509e-01
-2.332676800000e-01, 2.906693e+00, 3.236444e-01
-2.327961600000e-01, 2.876160e+00, 3.150953e-01
-2.323246400000e-01, 2.833415e+00, 3.150953e-01
-2.318531200000e-01, 2.790669e+00, 3.260870e-01
-2.313816000000e-01, 2.754030e+00, 3.297509e-01
-2.309100800000e-01, 2.711285e+00, 3.321935e-01
-2.304385600000e-01, 2.674646e+00, 3.334148e-01
-2.299670400000e-01, 2.631900e+00, 3.334148e-01
-2.294955200000e-01, 2.595261e+00, 3.334148e-01
-2.290240000000e-01, 2.558622e+00, 3.334148e-01
-2.285524800000e-01, 2.528090e+00, 3.334148e-01
-2.280809600000e-01, 2.491451e+00, 3.334148e-01
-2.276094400000e-01, 2.454812e+00, 3.334148e-01
