% Moku:Go Laser Lock Box
% Input 1, DC coupling, 0 dB attenuation, 0 dB gain
% Input 2, DC coupling, 0 dB attenuation
% Demodulating using modulation signal, phase shift 0.000 000 deg
% Lowpass filter: 4th-order Butterworth Lowpass, corner frequency 300.0 kHz, sampling rate 7.8125 MHz
% Setpoint: 0.000 0 V
% Fast controller: I controller: integrator unity gain frequency 5.800 kHz, integrator saturation +35.3 dB, invert off
% Slow controller: PI controller: proportional gain -32.2 dB, integrator crossover 169.4 mHz, invert off
% Scan - Triangle, 2.541 000 Hz, 10.000 Vpp, Output 1
% Modulation - 6.000 000 000 000 MHz, 10.000 Vpp, off
% Output 1 - control signal disabled, offset 0.000 0 V, limits disabled, output enabled
% Output 2 - control signal disabled, offset 0.000 0 V, limits disabled, output disabled
% Acquired 2025-06-23 T 17:20:56 +0200
% Time (s), Probe A (Probe A) (V), Probe B (Probe B) (V)
-2.211237600000e-01, 1.223589e+00, 3.346361e-01
-2.204954400000e-01, 1.191607e+00, 3.334148e-01
-2.198671200000e-01, 1.159624e+00, 3.346361e-01
-2.192388000000e-01, 1.127717e+00, 3.334148e-01
-2.186104800000e-01, 1.095887e+00, 3.346361e-01
-2.179821600000e-01, 1.063981e+00, 3.334148e-01
-2.173538400000e-01, 1.031998e+00, 3.334148e-01
-2.167255200000e-01, 1.000092e+00, 3.334148e-01
-2.160972000000e-01, 9.681852e-01, 3.334148e-01
-2.154688800000e-01, 9.362024e-01, 3.346361e-01
-2.148405600000e-01, 9.042196e-01, 3.346361e-01
-2.142122400000e-01, 8.723132e-01, 3.334148e-01
-2.135839200000e-01, 8.403304e-01, 3.334148e-01
-2.129556000000e-01, 8.084240e-01, 3.346361e-01
-2.123272800000e-01, 7.765175e-01, 3.346361e-01
-2.116989600000e-01, 7.446874e-01, 3.346361e-01
-2.110706400000e-01, 7.127046e-01, 3.334148e-01
-2.104423200000e-01, 6.807218e-01, 3.334148e-01
-2.098140000000e-01, 6.488154e-01, 3.334148e-01
-2.091856800000e-01, 6.169089e-01, 3.346361e-01
-2.085573600000e-01, 5.849261e-01, 3.334148e-01
-2.079290400000e-01, 5.529434e-01, 3.334148e-01
-2.073007200000e-01, 5.210369e-01, 3.346361e-01
-2.066724000000e-01, 4.891305e-01, 3.334148e-01
-2.060440800000e-01, 4.572240e-01, 3.346361e-01
-2.054157600000e-01, 4.253176e-01, 3.334148e-01
-2.047874400000e-01, 3.934111e-01, 3.346361e-01
-2.041591200000e-01, 3.615047e-01, 3.346361e-01
-2.035308000000e-01, 3.295219e-01, 3.358574e-01
-2.029024800000e-01, 2.975391e-01, 3.334148e-01
-2.022741600000e-01, 2.656326e-01, 3.346361e-01
-2.016458400000e-01, 2.336499e-01, 3.346361e-01
-2.010175200000e-01, 2.017434e-01, 3.346361e-01
-2.003892000000e-01, 1.698370e-01, 3.346361e-01
-1.997608800000e-01, 1.380068e-01, 3.346361e-01
-1.991325600000e-01, 1.060241e-01, 3.334148e-01
-1.985042400000e-01, 7.404128e-02, 3.334148e-01
-1.978759200000e-01, 4.213483e-02, 3.334148e-01
-1.972476000000e-01, 1.022838e-02, 3.334148e-01
-1.966192800000e-01, -2.175440e-02, 3.334148e-01
-1.959909600000e-01, -5.373718e-02, 3.346361e-01
-1.953626400000e-01, -8.564363e-02, 3.346361e-01
-1.947343200000e-01, -1.175501e-01, 3.346361e-01
-1.941060000000e-01, -1.494565e-01, 3.346361e-01
-1.934776800000e-01, -1.813630e-01, 3.334148e-01
-1.928493600000e-01, -2.132694e-01, 3.358574e-01
-1.922210400000e-01, -2.452522e-01, 3.346361e-01
-1.915927200000e-01, -2.771587e-01, 3.334148e-01
-1.909644000000e-01, -3.091414e-01, 3.334148e-01
-1.903360800000e-01, -3.410479e-01, 3.346361e-01
-1.897077600000e-01, -3.730307e-01, 3.358574e-01
-1.890794400000e-01, -4.050135e-01, 3.334148e-01
-1.884511200000e-01, -4.369199e-01, 3.346361e-01
-1.878228000000e-01, -4.687500e-01, 3.346361e-01
-1.871944800000e-01, -5.006565e-01, 3.346361e-01
