% Moku:Go Oscilloscope
% Channel A (Input 2), DC coupling, 1 x probe attenuation
% Channel B (Input 1), DC coupling, 1 x probe attenuation
% Time span 295.4 ms, time offset 3.629 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-06-23 T 17:12:22 +0200
% Time (s), Channel A (V), Channel B (V)
-1.7245516800e-01, -2.0395700829e+00, 3.3463606867e-01
-1.7243448000e-01, -2.0517830774e+00, 3.3463606867e-01
-1.7241379200e-01, -2.0517830774e+00, 3.3463606867e-01
-1.7239310400e-01, -2.0395700829e+00, 3.3463606867e-01
-1.7237241600e-01, -2.0395700829e+00, 3.3219346963e-01
-1.7235172800e-01, -2.0517830774e+00, 3.3463606867e-01
-1.7233104000e-01, -2.0517830774e+00, 3.3463606867e-01
-1.7231035200e-01, -2.0639960719e+00, 3.3219346963e-01
-1.7228966400e-01, -2.0517830774e+00, 3.3463606867e-01
-1.7226897600e-01, -2.0517830774e+00, 3.3463606867e-01
-1.7224828800e-01, -2.0639960719e+00, 3.3463606867e-01
-1.7222760000e-01, -2.0517830774e+00, 3.3219346963e-01
-1.7220691200e-01, -2.0639960719e+00, 3.3463606867e-01
-1.7218622400e-01, -2.0639960719e+00, 3.3463606867e-01
-1.7216553600e-01, -2.0639960719e+00, 3.3219346963e-01
-1.7214484800e-01, -2.0639960719e+00, 3.3219346963e-01
-1.7212416000e-01, -2.0639960719e+00, 3.3463606867e-01
-1.7210347200e-01, -2.0639960719e+00, 3.3463606867e-01
-1.7208278400e-01, -2.0639960719e+00, 3.3463606867e-01
-1.7206209600e-01, -2.0639960719e+00, 3.3707866771e-01
-1.7204140800e-01, -2.0639960719e+00, 3.3463606867e-01
-1.7202072000e-01, -2.0762090664e+00, 3.3463606867e-01
-1.7200003200e-01, -2.0762090664e+00, 3.3463606867e-01
-1.7197934400e-01, -2.0762090664e+00, 3.3463606867e-01
-1.7195865600e-01, -2.0762090664e+00, 3.3463606867e-01
-1.7193796800e-01, -2.0762090664e+00, 3.3463606867e-01
-1.7191728000e-01, -2.0884220609e+00, 3.3463606867e-01
-1.7189659200e-01, -2.0884220609e+00, 3.3463606867e-01
-1.7187590400e-01, -2.1006350555e+00, 3.3463606867e-01
-1.7185521600e-01, -2.0762090664e+00, 3.3463606867e-01
-1.7183452800e-01, -2.0884220609e+00, 3.3463606867e-01
-1.7181384000e-01, -2.1006350555e+00, 3.3707866771e-01
-1.7179315200e-01, -2.0884220609e+00, 3.3463606867e-01
-1.7177246400e-01, -2.0884220609e+00, 3.3463606867e-01
-1.7175177600e-01, -2.0884220609e+00, 3.3463606867e-01
-1.7173108800e-01, -2.0884220609e+00, 3.3463606867e-01
-1.7171040000e-01, -2.1006350555e+00, 3.3463606867e-01
-1.7168971200e-01, -2.1006350555e+00, 3.3463606867e-01
-1.7166902400e-01, -2.0884220609e+00, 3.3463606867e-01
-1.7164833600e-01, -2.1006350555e+00, 3.3463606867e-01
-1.7162764800e-01, -2.1006350555e+00, 3.3463606867e-01
-1.7160696000e-01, -2.1128480500e+00, 3.3463606867e-01
-1.7158627200e-01, -2.0884220609e+00, 3.3463606867e-01
-1.7156558400e-01, -2.1006350555e+00, 3.3463606867e-01
-1.7154489600e-01, -2.1128480500e+00, 3.3463606867e-01
-1.7152420800e-01, -2.1128480500e+00, 3.3463606867e-01
-1.7150352000e-01, -2.1006350555e+00, 3.3463606867e-01
-1.7148283200e-01, -2.1128480500e+00, 3.3707866771e-01
-1.7146214400e-01, -2.1250610445e+00, 3.3463606867e-01
-1.7144145600e-01, -2.1128480500e+00, 3.3463606867e-01
-1.7142076800e-01, -2.1128480500e+00, 3.3463606867e-01
-1.7140008000e-01, -2.1128480500e+00, 3.3219346963e-01
-1.7137939200e-01, -2.1250610445e+00, 3.3463606867e-01
-1.7135870400e-01, -2.1128480500e+00, 3.3463606867e-01
-1.7133801600e-01, -2.1250610445e+00, 3.3463606867e-01
-1.7131732800e-01, -2.1250610445e+00, 3.3463606867e-01
-1.7129664000e-01, -2.1250610445e+00, 3.3707866771e-01
-1.7127595200e-01, -2.1372740390e+00, 3.3463606867e-01
-1.7125526400e-01, -2.1250610445e+00, 3.3463606867e-01
-1.7123457600e-01, -2.1372740390e+00, 3.3463606867e-01
-1.7121388800e-01, -2.1494870335e+00, 3.3463606867e-01
-1.7119320000e-01, -2.1494870335e+00, 3.3463606867e-01
-1.7117251200e-01, -2.1494870335e+00, 3.3219346963e-01
-1.7115182400e-01, -2.1494870335e+00, 3.3463606867e-01
-1.7113113600e-01, -2.1494870335e+00, 3.3463606867e-01
-1.7111044800e-01, -2.1494870335e+00, 3.3463606867e-01
-1.7108976000e-01, -2.1494870335e+00, 3.3463606867e-01
-1.7106907200e-01, -2.1494870335e+00, 3.3463606867e-01
-1.7104838400e-01, -2.1617000280e+00, 3.3463606867e-01
-1.7102769600e-01, -2.1617000280e+00, 3.3463606867e-01
-1.7100700800e-01, -2.1494870335e+00, 3.3463606867e-01
-1.7098632000e-01, -2.1739130225e+00, 3.3463606867e-01
-1.7096563200e-01, -2.1739130225e+00, 3.3463606867e-01
-1.7094494400e-01, -2.1739130225e+00, 3.3463606867e-01
-1.7092425600e-01, -2.1617000280e+00, 3.3707866771e-01
-1.7090356800e-01, -2.1739130225e+00, 3.3463606867e-01
-1.7088288000e-01, -2.1739130225e+00, 3.3463606867e-01
-1.7086219200e-01, -2.1861260170e+00, 3.3463606867e-01
-1.7084150400e-01, -2.1739130225e+00, 3.3463606867e-01
-1.7082081600e-01, -2.1861260170e+00, 3.3463606867e-01
-1.7080012800e-01, -2.1739130225e+00, 3.3219346963e-01
-1.7077944000e-01, -2.1739130225e+00, 3.3463606867e-01
-1.7075875200e-01, -2.1861260170e+00, 3.3219346963e-01
-1.7073806400e-01, -2.1739130225e+00, 3.3463606867e-01
-1.7071737600e-01, -2.1861260170e+00, 3.3463606867e-01
-1.7069668800e-01, -2.1861260170e+00, 3.3463606867e-01
-1.7067600000e-01, -2.1739130225e+00, 3.3707866771e-01
-1.7065531200e-01, -2.1983390115e+00, 3.3463606867e-01
-1.7063462400e-01, -2.1861260170e+00, 3.3463606867e-01
-1.7061393600e-01, -2.1861260170e+00, 3.3463606867e-01
-1.7059324800e-01, -2.1861260170e+00, 3.3463606867e-01
-1.7057256000e-01, -2.1861260170e+00, 3.3463606867e-01
-1.7055187200e-01, -2.1983390115e+00, 3.3463606867e-01
-1.7053118400e-01, -2.1861260170e+00, 3.3463606867e-01
-1.7051049600e-01, -2.1861260170e+00, 3.3463606867e-01
-1.7048980800e-01, -2.1983390115e+00, 3.3463606867e-01
-1.7046912000e-01, -2.1861260170e+00, 3.3463606867e-01
-1.7044843200e-01, -2.1983390115e+00, 3.3463606867e-01
-1.7042774400e-01, -2.1983390115e+00, 3.3463606867e-01
-1.7040705600e-01, -2.1983390115e+00, 3.3463606867e-01
-1.7038636800e-01, -2.2105520060e+00, 3.3463606867e-01
-1.7036568000e-01, -2.2105520060e+00, 3.3707866771e-01
-1.7034499200e-01, -2.1983390115e+00, 3.3463606867e-01
-1.7032430400e-01, -2.2227650005e+00, 3.3463606867e-01
-1.7030361600e-01, -2.2105520060e+00, 3.3463606867e-01
-1.7028292800e-01, -2.2105520060e+00, 3.3707866771e-01
-1.7026224000e-01, -2.2227650005e+00, 3.3707866771e-01
-1.7024155200e-01, -2.2227650005e+00, 3.3219346963e-01
-1.7022086400e-01, -2.2227650005e+00, 3.3463606867e-01
-1.7020017600e-01, -2.2227650005e+00, 3.3463606867e-01
-1.7017948800e-01, -2.2227650005e+00, 3.3219346963e-01
-1.7015880000e-01, -2.2349779950e+00, 3.3707866771e-01
-1.7013811200e-01, -2.2227650005e+00, 3.3463606867e-01
-1.7011742400e-01, -2.2349779950e+00, 3.3463606867e-01
-1.7009673600e-01, -2.2349779950e+00, 3.3219346963e-01
-1.7007604800e-01, -2.2349779950e+00, 3.3463606867e-01
-1.7005536000e-01, -2.2349779950e+00, 3.3219346963e-01
-1.7003467200e-01, -2.2227650005e+00, 3.3463606867e-01
-1.7001398400e-01, -2.2349779950e+00, 3.3463606867e-01
-1.6999329600e-01, -2.2471909896e+00, 3.3463606867e-01
-1.6997260800e-01, -2.2471909896e+00, 3.3463606867e-01
-1.6995192000e-01, -2.2471909896e+00, 3.3463606867e-01
-1.6993123200e-01, -2.2471909896e+00, 3.3463606867e-01
