% Moku:Go Oscilloscope
% Channel A (Input 2), DC coupling, 1 x probe attenuation
% Channel B (Input 1), DC coupling, 1 x probe attenuation
% Time span 295.4 ms, time offset 3.629 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-06-23 T 17:12:21 +0200
% Time (s), Channel A (Input 2) (V), Channel B (Input 1) (V)
-1.513120320000e-01, -3.786028e+00, 3.346361e-01
-1.510224000000e-01, -3.816561e+00, 3.346361e-01
-1.507327680000e-01, -3.834880e+00, 3.346361e-01
-1.504431360000e-01, -3.859306e+00, 3.346361e-01
-1.501535040000e-01, -3.877626e+00, 3.358574e-01
-1.498638720000e-01, -3.895945e+00, 3.358574e-01
-1.495742400000e-01, -3.926478e+00, 3.334148e-01
-1.492846080000e-01, -3.950904e+00, 3.346361e-01
-1.489949760000e-01, -3.975330e+00, 3.334148e-01
-1.487053440000e-01, -4.005862e+00, 3.334148e-01
-1.484157120000e-01, -4.024182e+00, 3.346361e-01
-1.481260800000e-01, -4.048608e+00, 3.346361e-01
-1.478364480000e-01, -4.073034e+00, 3.334148e-01
-1.475468160000e-01, -4.091353e+00, 3.346361e-01
-1.472571840000e-01, -4.121886e+00, 3.334148e-01
-1.469675520000e-01, -4.140205e+00, 3.334148e-01
-1.466779200000e-01, -4.170738e+00, 3.334148e-01
-1.463882880000e-01, -4.195164e+00, 3.334148e-01
-1.460986560000e-01, -4.219590e+00, 3.321935e-01
-1.458090240000e-01, -4.237909e+00, 3.321935e-01
-1.455193920000e-01, -4.268442e+00, 3.309722e-01
-1.452297600000e-01, -4.292868e+00, 3.309722e-01
-1.449401280000e-01, -4.317294e+00, 3.297509e-01
-1.446504960000e-01, -4.335613e+00, 3.297509e-01
-1.443608640000e-01, -4.360039e+00, 3.273083e-01
-1.440712320000e-01, -4.384465e+00, 3.248657e-01
-1.437816000000e-01, -4.414998e+00, 3.175379e-01
